popup_id	category_raw	category_code	priority_rank	ladder_label	note
PU1489	2	2	7	Cat. 2  and Cat. VR	
PU1490	2	2	7	Cat. 2  and Cat. VR	
PU1491	2	2	7	Cat. 2  and Cat. VR	
PU1492	2	2	7	Cat. 2  and Cat. VR	
PU1493	2	2	7	Cat. 2  and Cat. VR	
PU1494	2	2	7	Cat. 2  and Cat. VR	
PU1495	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1496	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1497	2	2	7	Cat. 2  and Cat. VR	
PU1498	2	2	7	Cat. 2  and Cat. VR	
PU1499	2	2	7	Cat. 2  and Cat. VR	
PU1500	2	2	7	Cat. 2  and Cat. VR	
PU1501	2	2	7	Cat. 2  and Cat. VR	
PU1502	2	2	7	Cat. 2  and Cat. VR	
PU1503	2	2	7	Cat. 2  and Cat. VR	
PU1504	2	2	7	Cat. 2  and Cat. VR	
PU1505	2	2	7	Cat. 2  and Cat. VR	
PU1506	2	2	7	Cat. 2  and Cat. VR	
PU1507	2	2	7	Cat. 2  and Cat. VR	
PU1508	2	2	7	Cat. 2  and Cat. VR	
PU1509	2	2	7	Cat. 2  and Cat. VR	
PU1510	2	2	7	Cat. 2  and Cat. VR	
PU1511	2	2	7	Cat. 2  and Cat. VR	
PU1512	2	2	7	Cat. 2  and Cat. VR	
PU1513	2	2	7	Cat. 2  and Cat. VR	
PU1514	2	2	7	Cat. 2  and Cat. VR	
PU1515	2	2	7	Cat. 2  and Cat. VR	
PU1516	2	2	7	Cat. 2  and Cat. VR	
PU1517	2	2	7	Cat. 2  and Cat. VR	
PU1518	2	2	7	Cat. 2  and Cat. VR	
PU1519	2	2	7	Cat. 2  and Cat. VR	
PU1520	2	2	7	Cat. 2  and Cat. VR	
PU1521	2	2	7	Cat. 2  and Cat. VR	
PU1522	2	2	7	Cat. 2  and Cat. VR	
PU1523	2	2	7	Cat. 2  and Cat. VR	
PU1524	2	2	7	Cat. 2  and Cat. VR	
PU1525	2	2	7	Cat. 2  and Cat. VR	
PU1526	2	2	7	Cat. 2  and Cat. VR	
PU1527	2	2	7	Cat. 2  and Cat. VR	
PU1528	2	2	7	Cat. 2  and Cat. VR	
PU1529	2	2	7	Cat. 2  and Cat. VR	
PU1530	2	2	7	Cat. 2  and Cat. VR	
PU1548	2	2	7	Cat. 2  and Cat. VR	
PU1549	2	2	7	Cat. 2  and Cat. VR	
PU1550	2	2	7	Cat. 2  and Cat. VR	
PU1551	2	2	7	Cat. 2  and Cat. VR	
PU1552	2	2	7	Cat. 2  and Cat. VR	
PU1553	2	2	7	Cat. 2  and Cat. VR	
PU1554	2	2	7	Cat. 2  and Cat. VR	
PU1555	2	2	7	Cat. 2  and Cat. VR	
PU1556	2	2	7	Cat. 2  and Cat. VR	
PU1557	2	2	7	Cat. 2  and Cat. VR	
PU1558	2	2	7	Cat. 2  and Cat. VR	
PU1559	2	2	7	Cat. 2  and Cat. VR	
PU1560	2	2	7	Cat. 2  and Cat. VR	
PU1561	2	2	7	Cat. 2  and Cat. VR	
PU1562	2	2	7	Cat. 2  and Cat. VR	
PU1563	2	2	7	Cat. 2  and Cat. VR	
PU1564	2	2	7	Cat. 2  and Cat. VR	
PU1565	2	2	7	Cat. 2  and Cat. VR	
PU1566	2	2	7	Cat. 2  and Cat. VR	
PU1567	2	2	7	Cat. 2  and Cat. VR	
PU1568	2	2	7	Cat. 2  and Cat. VR	
PU1569	2	2	7	Cat. 2  and Cat. VR	
PU1570	2	2	7	Cat. 2  and Cat. VR	
PU1571	2	2	7	Cat. 2  and Cat. VR	
PU1572	2	2	7	Cat. 2  and Cat. VR	
PU1573	2	2	7	Cat. 2  and Cat. VR	
PUf1575	2	2	7	Cat. 2  and Cat. VR	
PU1576	2	2	7	Cat. 2  and Cat. VR	
PU1577	2	2	7	Cat. 2  and Cat. VR	
PU1578	2	2	7	Cat. 2  and Cat. VR	
PU1579	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
