popup_id	category_raw	category_code	priority_rank	ladder_label	note
PU0887	2	2	7	Cat. 2  and Cat. VR	
PU0888	2	2	7	Cat. 2  and Cat. VR	
PU0889	2	2	7	Cat. 2  and Cat. VR	
PU0890	2	2	7	Cat. 2  and Cat. VR	
PU0891	2	2	7	Cat. 2  and Cat. VR	
PU0892	2	2	7	Cat. 2  and Cat. VR	
PU0893	2	2	7	Cat. 2  and Cat. VR	
PU0894	2	2	7	Cat. 2  and Cat. VR	
PU0895	2	2	7	Cat. 2  and Cat. VR	
PU0896	2	2	7	Cat. 2  and Cat. VR	
PU0897	2	2	7	Cat. 2  and Cat. VR	
PU0898	2	2	7	Cat. 2  and Cat. VR	
PU0899	2	2	7	Cat. 2  and Cat. VR	
PU0900	2	2	7	Cat. 2  and Cat. VR	
PU0902	2	2	7	Cat. 2  and Cat. VR	
PU0903	2	2	7	Cat. 2  and Cat. VR	
PU0904	2	2	7	Cat. 2  and Cat. VR	
PU0905	2	2	7	Cat. 2  and Cat. VR	
PU0906	2	2	7	Cat. 2  and Cat. VR	
PU0907	2	2	7	Cat. 2  and Cat. VR	
PU0908	2	2	7	Cat. 2  and Cat. VR	
PU0909	2	2	7	Cat. 2  and Cat. VR	
PU0910	2	2	7	Cat. 2  and Cat. VR	
PU0911	2	2	7	Cat. 2  and Cat. VR	
PU0912	2	2	7	Cat. 2  and Cat. VR	
PU0913	2	2	7	Cat. 2  and Cat. VR	
PU0914	2	2	7	Cat. 2  and Cat. VR	
PU0915	2	2	7	Cat. 2  and Cat. VR	
PU0916	2	2	7	Cat. 2  and Cat. VR	
PU0917	2	2	7	Cat. 2  and Cat. VR	
PU0918	2	2	7	Cat. 2  and Cat. VR	
PU0919	2	2	7	Cat. 2  and Cat. VR	
PU0920	2	2	7	Cat. 2  and Cat. VR	
PU0921	2	2	7	Cat. 2  and Cat. VR	
PU0922	2	2	7	Cat. 2  and Cat. VR	
PU0923	2	2	7	Cat. 2  and Cat. VR	
PU0924	2	2	7	Cat. 2  and Cat. VR	
PU0925	2	2	7	Cat. 2  and Cat. VR	
PU0926	2	2	7	Cat. 2  and Cat. VR	
PU0927	2	2	7	Cat. 2  and Cat. VR	
PU0928	2	2	7	Cat. 2  and Cat. VR	
PU0929	2	2	7	Cat. 2  and Cat. VR	
PU0930	2	2	7	Cat. 2  and Cat. VR	
PU0931	2	2	7	Cat. 2  and Cat. VR	
PU0932	2	2	7	Cat. 2  and Cat. VR	
PU0933	2	2	7	Cat. 2  and Cat. VR	
PU0934	2	2	7	Cat. 2  and Cat. VR	
PU0935	2	2	7	Cat. 2  and Cat. VR	
PU0936	RVC	RVC	1	RVC	
PU0937	RVC	RVC	1	RVC	
PU0938	RVC	RVC	1	RVC	
PU0939	RVC	RVC	1	RVC	
PU0940	RVC	RVC	1	RVC	
PU0941	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU0942	2	2	7	Cat. 2  and Cat. VR	
