Parameter	ArchColumn	SignalName	CAN	Format	SourceRow
Cluster_Display_Type	Atlantis & Atlantis High (col 16-20, Proxi sheet)	Cluster_Display_Type	PROXI	0 = No Display Available / 1 = Base Display / 2 = Medium Display / 3 = High Display / 4 = TFT B/W Display / 5 = TFT Color Display 7" / 6 = TFT Color Display 10.25 " / # = Not Used	39
Country_Code	Atlantis & Atlantis High (col 16-20, Proxi sheet)	Car_Configuration_16.Country_Code	PROXI		43
GPS_Presence	Atlantis & Atlantis High (col 16-20, Proxi sheet)	GPS_Presence	PROXI	Proxi: GPS_Presence / 0= Absent / 1= Present	93
Hybrid_Type	Atlantis & Atlantis High (col 16-20, Proxi sheet)	Hybrid_Type		0 = Not Applicable / 1 = Battery Electric Vehicle / 2 = Hybrid Electric Vehicle / 3 = Plugin Hybrid Electric Vehicle / 4 = 48V Belt Start Generator / 5 = 12V Belt Start Generator / 6 = REPB / 7 = Fuel Cell Electric Vehicle / # = Not Used	105
NAV_Presence	Atlantis & Atlantis High (col 16-20, Proxi sheet)	NAV_Presence	PROXI	0 = Absent / 1 = Present	123
VC_VEH_LINE	Atlantis & Atlantis High (col 16-20, Proxi sheet)	Car_Configuration_15.Vehicle_Line_Configuration	None: / Proxi	0 = Invalid / 51 = 343 (33 Hex) / 52 = 327FL (34 Hex) / 53 = 226 (35 Hex) / 80 = PF (50 Hex) / 81 = KL/K4  (51 Hex) / 82 = UF (52 Hex) / 83 = UT (53 Hex) / 84 = 334 (54 Hex) / 85 = 520 (55 Hex) / 86 = 551 /M1 (56 Hex) / 87 = 338 (57 Hex) / 88 = 521 (58 Hex) / 89 = 636 VM (59 Hex) / 90 = 356 (5A Hex) / 91 = 952 (5B Hex) / 92 = 341 (5C Hex) / 93 = 552/MP (5D Hex) / 94 =949 (5E Hex) / 95 = 523 (5F Hex) / 96 = 358 (60 Hex) / 97 = 359 (61 Hex) / 98 = 553/M4 (62 Hex) / 99 = 556/M6 (63 Hex) / 100 = K8 (64 Hex) / 101 = WL (65 Hex) / # = Not Used	433
