req_id	outline	polarion_id	spec_reference	title
SWE1-POP-002-01	5.6	NRL-168288	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is
SWE1-POP-002-02	5.6	NRL-168288	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is
SWE1-POP-002-03	5.6	NRL-168288	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is
SWE1-POP-002-04	5.6	NRL-168288	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is
SWE1-POP-002-05	5.6	NRL-168288	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is
