# source	forms/Pop Up List HMI R1 (26PI).xlsx
# source_sha256	ff47b7be63e5824cafe35deda9f9ddd0a63f6ea458169ef73689a1c559ea13ea
# baseline	Main!A1 = SR24 Post 2A CR25802
# 母體	Main r3 起，A 欄 ^PU\d，逐列 = 1340
# 類別判準	a: C 欄 strip 後 ^\d+(\.\d+)?$ ／ b: D 欄含 outside（不分大小寫，子字串） ／ c: D|E|G 任一含 keyboard（同上）
# 一列可屬多類；class 欄以 + 併記
row	pu_id	module	timeout_sec	exit_conditions	string_60	class
714	PU0714	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nElocker Active\n\nor if FIAT, ALFA, 	a
715	PU0715	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nManual Park Required\n\nor if FIAT, 	a
716	PU0716	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nParking Space Too Small\n\nor if FIA	a
717	PU0717	CVPM	5	Timeout\n<X>	Active Parksense Canceled\nPark Button Released Over 600secs\n	a
730	PU0730	Notifications	N/A	Touch outside of popup	<X>\n<Delete> <Don't Show Again>	b
731	PU0731	Status Bar	5 seconds	Touch outside of popup	Media, Phone, Nav, VR\n<->, <scrubber bar>, <+>  (Volume leve	b
732	PU0732	Comfort	5 seconds	Touch outside of popup, X	5 Massage Settings, 3 Intensity levels and Off Seat.\nFor WS,	b
733	PU0733	Comfort	5 seconds	Touch outside of popup, X	Lumbar adjust up/down, in/out.  Back Bolster, Thigh Bolster 	b
804	PU0804	Personal Account/Driver Profiles Connected Personal Account	NA	<Yes>, <No>, <X>, Touch outside of popup	"Your Mopar Uconnect account is no longer syncing. Would you	b
806	PU0806	Home	5	Timeout\n<X>	Maximum number of Home screen pages has been reached. <X>	a
807	PU0807	Home	5	Timeout\n<Undo>\n<X>	Home screen page has been deleted. [Undo] [X]	a
808	PU0808	Home	5	Timeout\n<X>	Home screen updates saved.	a
818	PU0818	WCPS	5	<X>\n<OK>	Wireless Charging Pad    <X>\n\nCharging phone.\n\n<OK>	a
819	PU819	WCSP	5	<X>\n<OK>	Wireless Charging Pad    <X>\n\nPhone charging completed.\n\n<OK	a
820	PU820	WCSP	5	<X>\n<OK>	Wireless Charging Pad      <X>\n\nPhone charging interrupted. 	a
821	PU821	WCSP	5	<X>\n<OK>	Wireless Charging Pad    <X>\n\nPhone charging interrupted for	a
822	PU822	WCSP	5	<X>\n<OK>	Wireless Charging Pad   <X>\n\nA Foreign object  detected. Ple	a
831	PU0831	Personal Account/Driver Profiles	N/A	Touch outside of popup, Yes,  Cancel, X	Valet Mode will lock out all Driver Profiles, limit Drive Mo	b
832	PU0832	Personal Account/Driver Profiles	N/A	Touch outside of popup, Yes,  Cancel, X	Valet Mode will lock out all Driver Profiles, lock the Glove	b
834	PU0834	Personal Account/Driver Profiles	N/A	Touch outside of popup, Yes,  Cancel, X	Valet Mode will lock out all Driver Profiles, lock the Glove	b
835	PU0835	Profile Setup Assistant	N/A	Touch outside of popup, vehicle in motion, <Continue>, <X>	[Title: Setup Assistant] [List: Media, Status Bar, Home Scre	b
836	PU0836	Profile Setup Assistant	N/A	Touch outside of popup, vehicle in motion, <Next>, <X>, <Back Button>	[Title: Setup Assistant] [Subtitle: Media] Pin your favorite	b
837	PU0837	Profile Setup Assistant	N/A	Touch outside of popup, vehicle in motion, <Next>, <X>, <Back Button>	[Title: Setup Assistant] [Subtitle: Arrange Status Bar] The 	b
838	PU0838	Profile Setup Assistant	N/A	Touch outside of popup, vehicle in motion, <Next>, <X>, <Back Button>	[Title: Setup Assistant] [Subtitle: Home Screen Setup] Custo	b
839	PU0839	Profile Setup Assistant	N/A	Touch outside of popup, vehicle in motion, <Finish>, <X>, <Back Button>	[Title: Setup Assistant] [Subtitle: Connect Multiple Devices	b
840	PU0840	Profile Setup Assistant	N/A	Touch outside of popup, Vehicle in Motion,  <Exit>, <Resume>, <X>	Are you sure you want to Exit? Your profile has been saved. 	b
841	PU0841	Personal Account/Driver Profiles	30 seconds	Timeout, Vehicle in Motion, Touch outside of popup. <Start Setup Get Started>, <Switch Users>, <X>	"Welcome [username]", <Start Setup Get Started>, <Switch Use	b
842	PU0842	Personal Account/Driver Profiles	N/A	Touch outside of popup, Vehicle in Motion, <Next> <X> <Back Button>	[Title: Profile Created] Welcome [username]! Your Profile ha	b
843	PU0843	Profile Setup Assistant	N/A	Touch outside of popup, Vehicle in Motion, <Exit> <Pair Phone> <Back Button>	[Title: Setup Assistant] Setup Assistant is Complete! You ca	b
861	PU0861	Camera App	N/A	<X>\n<OK>	<X>\n<entry spot for camera name> <Back space>\nFull Qwerty Ke	c
885	PU0885	SiriusXM 360 L	8 sec	Timeout, press outside of the popup, <X>	[Dynamic content defined by SiriusXM]	b
886	PU0886	SiriusXM 360 L	8 sec	Timeout, press outside of the popup, <X>, <OK>	<X>\n\nYou have reached your maximum number of favorites able 	b
923	PU0924	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box                                               <X>\n	b
924	PU0925	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                           <X>	b
925	PU0926	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                           <X>	b
926	PU0927	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                              	b
927	PU0928	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                         <X>\n\n	b
928	PU0929	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                         <X>\n\n	b
929	PU0930	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                         <X>\n\n	b
930	PU0931	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                         <X>\n\n	b
931	PU0932	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                       <X>\n\n  	b
932	PU0933	Glove Box	N/A	Touch outside of popup, 'X'	Glove Box Mode                                       <X>\n\nGl	b
933	PU0934	Valet Mode	5	<Yes>,<No>, <X>	Title: Valet Mode                                           	a
935	PU0936	Surround  View Camera	10	X\nTimeout\nExceed 8mph	Top View\nRear Cross Path View\n(Front Cross Path View)\n<X>	a
940	PU0941	Geolocation	10	Touching outside of popup, X, Timeout	Geolocation                                                 	a+b
941	PU0942	Home Screen	5	Timeout, <Reorder> <X>	<X>\nPage added! [Reorder]	a
948	PU0949	Home Screen	3	<OK>\n<X>	No Phone is Connected.        <OK>    <X>	a
950	PU0951	Keyboard	N/A	<X>	You must have between 1 and 3 languages selected.	c
951	PU0952	Factory Reset	5	Yes, Cancel, X	Factory Reset                                               	a
958	PU0959	Passenger\nAirbag\nORC DNA	5	<Yes>\n<No>	Front Passenger Airbag\n\nAre you sure you want to set Front P	a
959	PU0960	Passenger\nAirbag\nORC DNA	5	<OK>\n<X>	Front Passenger Airbag       <X>\n\nRequest sent. Please verif	a
960	PU0961	Passenger\nAirbag\nORC DNA PHEV	5	<OK>\n<X>	Front Passenger Airbag       <X>\n\nRequest Canceled. Please v	a
961	PU0962	Passenger\nAirbag\nORC DNA PHEV	5	<OK>\n<X>	Front Passenger Airbag       <X>\n\nFront Passenger Airbag pro	a
980	PU0981	Home Screen	5	<OK>\n<X>\nTimeout	Add Contact <X>\n\nOne contact allowed per routine.\n\n<OK>	a
981	PU0983	Home Screen	5	<OK>\n<X>\nTimeout	Add Route <X>\n\nOne route allowed per routine.\n\n<OK>	a
982	PU0984	Home Screen	5	<Undo> <Cancel>\n<X>\nTimeout	Routine not saved. \n<Back> <Cancel> <X>	a
983	PU0986	Home Screen	5	<OK>\n<X>\nTimeout	Unavailable Shortcut <X>\n\nThis selection conflicts with a pr	a
988	PU1091	Settings	5	Timeout, <OK>	<X>\n\nPersonal data cleared\n\n<OK>	a
989	PU1102	Turn Signal Activated Blind Spot View	5	X\nTimeout	Check Entire Surroundings                                 <X	a
992	PU1113	Camera	5	X	Panning capability is locked out at or above 8MPH     <X>	a
1008	PU1192	Home Screen	5	<Cancel>\n<Continue>\n<X>\nTimeout	Launch multiple shortcuts at once <X>\n\n\n<Continue> <Cancel>\n	a
1018	PU1204	TBM	60	X, Update now, Update Later, Timeout	(TBM Name TBD) Update <X>\n(TBM Name TBD) will be updated.\nEs	a
1019	PU1205	TBM	60	X, Update now,  Timeout	(TBM Name TBD) Update\n(TBM Name TBD) Update will start in 1 	a
1021	PU1207	TBM/Assist call	5	<X> <OK> <Timeout>	Emergency Call              <X>\nHELP Call in progress!\n\nFunc	a
1025	PU1211	TBM	60	X, Update now, Update Later, Timeout	(TBM Name TBD) Update <X>\n(TBM Name TBD) will be updated.\nEs	a
1026	PU1212	TBM	60	X, Update now,  Timeout	(TBM Name TBD) Update\n(TBM Name TBD) Update will start in 1 	a
1029	PU1215	TBM FOTA	60	<Update Now>\n<Update Later>\n<X>\nInteraction with menu bar or status bar	Title:<TBM Name > Update \nText: <TBM Name> will be updated. 	a
1030	PU1216	TBM FOTA	60	<Update Now>\n<X>\nInteraction with menu bar or status bar	Title:<TBM Name > Update \nText: <TBM Name> Update will start	a
1031	PU1217	TBM FOTA	60	<Update Now>\n<Update Later>\n<X>\nInteraction with menu bar or status bar	Title:<TBM Name > Update \nText: <TBM Name> will be updated. 	a
1032	PU1218	TBM FOTA	60	<Update Now>\n<X>\nInteraction with menu bar or status bar	Title:<TBM Name > Update \nText: <TBM Name> Update will start	a
1038	PU1224	e-Call	10	Timeout\n<Ok>\n<X>\nInteraction with menu bar or status bar	Title:Emergency Call Error\nText: HELP Call Service Expired. 	a
1041	PU1227	TBM Assist Call	5	<OK>,\n<X>	Title: Emergency Call\n\nHELP Call in progress!\nFunction not a	a
1042	PU1228	Factory Reset	5	Yes, Cancel, X	Factory Reset                                               	a
1043	PU1229	Geolocation	5	<X>\n<OK>	Geolocation setting is On: vehicle position is tracked to en	a
1044	PU1230	Geolocation	5	<X>\n<OK>	Geolocation setting is Off: vehicle position is tracked for 	a
1045	PU1231	Geolocation	5	<X>\n<OK>	Geolocation setting is On: vehicle position is tracked to en	a
1046	PU1232	Geolocation	5	<X>\n<OK>	Geolocation setting is Off: vehicle position is tracked for 	a
1051	PU1244	Head Unit Video Player	5	X\nOK\nTimeout	<X>\n\nNo USB device connected.\n\n<OK>	a
1058	PU1266	Comfort	5	<Unlock>, <X>	Rear Comfort                   <X>\n\nSystem is locked.\n\n<Unlo	a
1059	PU1267	Comfort	5	<Turn On>, <X>	Rear Comfort                   <X>\n\nSystem is locked.\n\n<Turn	a
1060	PU1268	Comfort	5	<Yes>, <X>	Rear Comfort Activation                   <X>\n\nAllow rear co	a
1066	PU1274	Projection Device	5	OK, Cancel, X	<X>\nNo Apple CarPlay Android Auto device connected.\nDo you w	a
1067	PU1275	Connected Personal Account	N/A	Touch outside of popup, X,  OK	"Turning ON Auto-Save will turn ON Auto-Load" <OK> <X>	b
1068	PU1276	Connected Personal Account	N/A	Touch outside of popup, X,  OK	"Turning OFF Auto-Load will turn OFF Auto-Save" <OK> <X>	b
1071	PU1279	Trip	3	<X>\nTimeout	Reset Failed <X>\nYou need to press for 2 seconds to reset th	a
1075	PU1283	CarLife	5	Switch, X, Timeout	CarLife                                                     	a
1077	PU1285	App Drawer	3	Timeout, X	System Loading                            <X>\n\nApp  is unava	a
1078	PU1287	Home Screen	5	<Cancel>\n<Continue>\n<X>\nTimeout	"A routine allows you to launch multiple actions at once <X>	a
1079	PU1288	Home Screen	5	<OK>\n<X>\nTimeout	No available shortcuts <X>\n\nThis shortcut cannot be combined	a
1080	PU1289	Home Screen	3	<X>\nTimeout	<Routine Name> activated <X>	a
1081	PU1290	Home Screen	5	<OK>\n<X>\nTimeout	Select multiple shortcuts <X>\n\nTwo or more shortcuts are req	a
1082	PU1291	Home Screen	3	<OK>\n<X>\nTimeout	<X>\nWidget cannot be moved here. \n\n<OK>	a
1088	PU1297	In-Vehicle Activation	10	<OK>,\n<X>,\ntimeout,\nVehicle in Motion	Title: <Activate Services>\n\nData connection temporarily not 	a
1089	PU1298	In-Vehicle Activation	10	<OK>,\n<X>,\ntimeout	Title: <Activate Services>\n\nFeature not available while vehi	a
1090	PU1299	In-Vehicle Activation	10	<OK>,\n<X>,\ntimeout,\nVehicle in Motion	Title: <Activate Services>\n\nFeature not available in Valet M	a
1096	PU1307	Connected Personal Account	N/A	Touch outside of popup, OK	"Connecting your account requires a data connection which is	b
1102	PU1313	FPDM	3	<X>\nTimeout	In use by driver, unavailable.	a
1103	PU1314	FPDM	3	<X>\nTimeout	Passenger Screen permissions disabled	a
1104	PU1315	FPDM	3	<X>\nTimeout	Message sent to <contact>	a
1105	PU1316	FPDM	3	<X>\nTimeout	Message sent to <contact> “end future passenger reply”	a
1106	PU1317	FPDM	3	<X>\nTimeout	Source in use.	a
1107	PU1318	FPDM	3	<X>\nTimeout	Source not available while driver is listening to USB, Bluet	a
1108	PU1319	FPDM	3	<X>\nTimeout	Bluetooth pairing successful	a
1109	PU1320	FPDM	3	<X>\nTimeout	Bluetooth pairing failed	a
1110	PU1321	FPDM	3	<X>\nTimeout	Driver Profile is changing.	a
1111	PU1322	FPDM	3	<X>\nTimeout	System is Hot.\nPlease wait for the system to function.\nIf is	a
1112	PU1323	FPDM	3	<X>\nTimeout	HDMI Device was disconnected.	a
1113	PU1324	FPDM	5	<X>\nTimeout	Touch display to tun back on	a
1114	PU1325	FPDM	3	<x>\nTimeout	Phone Disconnected	a
1116	PU1327	SiriusXM 360 L	8	<X>\n<OK>	<X>\n\n<Icon>\nUnable to sync SiriusXM Favorites.\n\nYour SiriusX	a
1118	PU1329	SiriusXM 360 L	8	<X>\n<OK>	<X>\n\n<Tile>\nNot Allowed while driving\n\nPlease park your vehi	a
1120	PU1331	Forward Collision Warning	5	<X>\n<OK>	<X>\nIf we have km/h unit: \n"This setting can not be disabled	a
1133	PU1349	Legislative Ecall	10	<OK>, <X>	Title: EMERGENCY CALL\n\nASSIST Call ended\nThe system is start	a
1134	PU1350	Virtual Memory Seats	5	<X>, <OK>, timeout	Memory Seats    <X>\n\nMemory 1 recalled. \n\nOr\n\nMemory 2 recal	a
1135	PU1351	Virtual Memory Seats	5	<X>, <OK>, timeout	Memory Seats    <X>\n\nMemory 1 saved. \n\nOr\n\nMemory 2 saved. \n	a
1177	PU1394	Home Screen	5	<OK>\n <X>\n Timeout	Add Media <X>\n \nOne media shortcut allowed per routine.\n \n <	a
1178	PU1395	Home Screen	5	<OK>\n <X>\n Timeout	Save your current climate <X>\n\nThese are your current climat	a
1179	PU1396	ADAP	10	<Show me> <X> Timeout	Sensor [Insert name] [#] needs to be cleaned.	a
1180	PU1397	ADAP	10	<Show me> <X> Timeout	Sensor [Insert name] [#] needs to be serviced.	a
1181	PU1398	ADAP	10	<Show me> <X> Timeout	[#] sensors need to be cleaned.	a
1182	PU1399	ADAP	10	<Show me> <X> Timeout	[#] sensors require your attention.	a
1183	PU1400	ADAP	10	<Take me there>, <Don't Show Again>, <X>	Active Driving Assist Quick Start Guide is available.	a
1192	PU1409	BEV/PHEV	5 sec.	Timeout, Touch outside of popup,<X>	<X>\n\nThe maximum battery level is currently set to 80%. Chan	b
1199	PU1416	Power Panel	N/A	Touch outside of popup,<X>	<X>\n\nSystem Fault. Restart vehicle to reset the Power Panel.	b
1200	PU1417	Power Panel	10 sec.	Touch outside of popup,<OK>,<X>	<X>\n\nGenerator Mode is enabled. While in use, all non-essent	b
1201	PU1418	Power Panel	10 sec.	Touch outside of popup,<OK>,<X>	<X>\n\nGenerator Mode is enabled with Secure Idle. While in us	b
1202	PU1419	Power Panel	10 sec.	Touch outside of popup,<OK>,<X>	<X>\n\nSecure Idle is enabled. While in use, the shifter is lo	b
1204	PU1421	Power Panel	30 sec.	Touch outside of popup,<X>	<X>\n\nThe Power Panel is disabled due to a high power draw. R	b
1205	PU1422	Power Panel	N/A	Touch outside of popup,<X>	<X>\n\nPower Panel temporarily unavailable.	b
1281	PU1498	PHEV/BEV	10 sec.	Timeout, Touch outside of popup,<X>	<X>\n\nPlug & Charge available contracts list has been updated	b
1282	PU1499	PHEV/BEV	10 sec.	Timeout, Touch outside of popup,<X>	<X>\n\nPlug & Charge available contracts list cannot be update	b
1283	PU1500	PHEV/BEV	10 sec.	Timeout, Touch outside of popup,<X>	<X>\n\nPlug & Charge is disabled. The selected contract is exp	b
1288	PU1505	Remote Diagnosis Assistant	5 sec.	<See Safety Instructions>\nTimeout\nTap outside popup	Make sure your vehicle is in park and park brake is activate	b
1294	PU1511	R1AP	10	<Take me there>, <Don't Show Again>, <X>	AutoDrive Quick Start Guide is available.	a
1295	PU1512	BEV	10 sec.	Timeout, Touch outside of popup, <X>	<X>\n\nBattery regeneration levels unavailable.	b
1300	PU1517	Camera	3	<X>\n<Ok>	[X]\nWireless Cameras disabled.\n\n<OK>	a
1312	PU1529	Status Bar	2	<X>	No available audio.                              <X>	a
