# source	forms/Pop Up List HMI R1 (26PI).xlsx
# source_sha256	ff47b7be63e5824cafe35deda9f9ddd0a63f6ea458169ef73689a1c559ea13ea
# baseline	Main!A1 = SR24 Post 2A CR25802
# 母體	Main r3 起，A 欄 ^PU\d，逐列 = 1340
# 類別判準	a: C 欄 strip 後 ^\d+(\.\d+)?$ ／ b: D 欄含 outside（不分大小寫，子字串） ／ c: D|E|G 任一含 keyboard（同上）
# 一列可屬多類；class 欄以 + 併記
row	pu_id	module	timeout_sec	exit_conditions	string_60	class
373	PU0370	VP4--Performance Pages APP	5	X'; 'OK'	No Storage Media Installed.  Check for Proper Installation o	a
374	PU0371	VP4--Performance Pages APP	5	X'; 'OK'	No Storage Media Installed.'	a
375	PU0372	VP4--Performance Pages APP	5	X'; 'OK'	Cannot Write to Storage Media.  Check that Write Protection 	a
376	PU0373	VP4--Performance Pages APP	5	X'; 'OK'	Cannot Write to Storage Media.'	a
377	PU0374	VP4--Performance Pages APP	5	X'; 'OK'	Unable to Write to Uconnect Account.  Check that User Accoun	a
378	PU0375	VP4--Performance Pages APP	5	X'; 'OK'	Unable to Write to Uconnect Account.'	a
379	PU0376	VP4--Performance Pages APP	5	X'; 'OK'	No Data Connection to Uconnect Available.  Try Again When Da	a
380	PU0377	VP4--Performance Pages APP	5	X'; 'OK'	No Data Connection to Uconnect Available.'	a
381	PU0378	VP4--Performance Pages APP	5	X'; 'OK'	Dyno Data Collection in Process.  Feature not Available whil	a
382	PU0379	VP4--Performance Pages APP	5	X'; 'OK'	Performance Pages app is currently loading, button will beco	a
384	PU0381	VP4--Drive Modes, D171	5	OK'	Drag Mode Activated'\n\n(show animation)	a
385	PU0382	VP4--Drive Modes	5	X'	Drag Mode Active                   <X>\n\nAir conditioning not	a
386	PU0383	VP4--Drive Modes	5	OK'	Level Currently Unavailable'	a
387	PU0384	VP4--Drive Modes	5	OK'	Level unavailable in current mode.	a
388	PU0385	VP4--Drive Modes	5	OK'	Track and Sport Transmission Levels are only available with 	a
389	PU0386	VP4--Drive Modes	5	OK'	Level unavailable in Default Mode. Select Sport Mode to chan	a
390	PU0387	VP4--Drive Modes	5	OK'	“xxx power level not available while Black Key in use.”	a
393	PU0390	VP4--Drive Modes	5	OK'	“Valet Mode Activated. Vehicle Performance Limited”	a
394	PU0391	VP4--Drive Modes, D170	5	OK'	“Valet Mode Deactivated”	a
396	PU0393	VP4--Drive Modes, D170	5	OK'	“Turn on Shift Light to use Shift Light RPM Set-Up”	a
397	PU0394	VP4-Drive Modes	5	OK'; 'X'	“Function not available while Valet Mode is active.  Valet M	a
398	PU0395	VP4-Drive Modes	5	OK'; 'X'	"Function not available while Valet Mode is active.  Valet M	a
399	PU0396	VP4--Drive Modes	5	OK'	“Feature not available while cruise control active.”	a
400	PU0397	VP4--Drive Modes	5	OK'	Drive Mode cannot change while Launch Control is active.	a
401	PU0398	VP4--Drive Modes	5	OK'	Mode cannot change while Line Lock is active”	a
402	PU0399	VP4-Drive Modes	5	OK'	Mode cannot change while Trans Brake is active	a
405	PU0402	VP4--Drive Modes, D170	5	X'; 'OK'	Valet Mode Activating'\n\n(show animation + show animation for	a
406	PU0403	VP4--Drive Modes, D170	5	X'; 'OK'	Valet Mode Activated'\n\n(green 'check mark' next to items exe	a
407	PU0404	VP4--Drive Modes, D170	N/A	X'; 'GO'	Valet Mode Activation\n\nEnter a 4 digit pin to be used for ac	c
408	PU0405	VP4--Drive Modes, D170	N/A	X'; 'GO'	Valet Mode Deactivation\n\nEnter pin used for Valet Mode activ	c
409	PU0406	VP4-Drive Modes	5	X'	High Octane feature not equipped.  Please contact your local	a
410	PU0407	VP4-Drive Modes	5	X'	High Octane feature can only be deactivated using the ('HO s	a
411	PU0408	VP4-Drive Modes	5	X'	High Octane feature can only be activated using the ('HO sym	a
412	PU0409	Back up Camera	10	X\nTimeout\nExceed 8mph	<Magnifying glass>\n<X>	a
437	PU0434	Wi-Fi HotSpot	5	<X>\n<OK>	Wi-Fi                             <X>                       	a
438	PU0435	Modem Reset	5	<X>\n<OK>	<X>\n\nThe modem could not be reset.\nTry again later.\n\n<OK>	a
439	PU0436	Drive Modes	5	<X>\n<OK>	Drive Modes                                              <X>	a
440	PU0437	Media	5	<X>\n<OK>	<X>                              \nA new device is connected.	a
441	PU0438	Media	5	<X>\n<OK>	<X>                              \n(Phone Name) is connected.	a
442	PU0439	Media	5	<X>\n<OK>	<X> \n\n[Phone Name #2] detected as charge only.\n\nTo fully con	a
443	PU0440	Projection Device	5	<X>\n<OK>	<X>                              \n\nYou must use Android Auto	a
450	PU0447	Rearview Camera with all features	10	X\nTimeout\nExceed 8mph	Check Entire Surroundings                                 <X	a
465	PU0462	VP4--Drive Modes	5	X'; 'OK'	Chiller Temporarily Unavailable	a
466	PU0463	VP4--Drive Modes, D170	5	X'; 'OK'	Air Conditioning Unavailable to Enhance Intercooler Cooling	a
467	PU0464	VP4--Drive Modes	5	X'; 'OK'	Air Conditioning and Chiller Feature Temporarily Unavailable	a
468	PU0465	VP4--Drive Modes	5	X'; 'OK'	Power cannot change while Cruise Control is Active	a
469	PU0466	VP4--Drive Modes	5	X'; 'OK'	Power cannot change while Throttle is being Applied	a
470	PU0467	Surround View Camera	10	X\nTimeout\nExceed 8mph	Check Entire Surroundings  \nTop View\nRear View(Front View)\n<	a
502	PU0499	TBM	60	X, Update now, Update Later, Timeout	(TBM Name TBD) Update <X>\n(TBM Name TBD) will be updated.\nEs	a
503	PU0500	TBM	60	X, Update now,  Timeout	(TBM Name TBD) Update\n(TBM Name TBD) Update will start in 1 	a
507	PU0505	Media	3	User closes, presses Ok, or popup times out	<X>\n\nMap overlay not available while navigation map is\ndispl	a
508	PU0505	Media	3	User closes, presses Ok, or popup times out	<X>\n\nMap overlay not available while navigation map is\ndispl	a
520	PU0517	Temperature	10	Timeout\n<X>\n<OK>	Screen is Hot.\nDisplay brightness has been reduced.	a
554	PU0551	TBM/Assist call	5	<X> <OK> <Timeout>	Emergency Call              <X>\nSOS Call in progress!\n\nFunct	a
565	PU0562	TBM	60	X, Update now, Update Later, Timeout	(TBM Name TBD) Update <X>\n(TBM Name TBD) will be updated.\nEs	a
566	PU0563	TBM	60	X, Update now,  Timeout	(TBM Name TBD) Update\n(TBM Name TBD) Update will start in 1 	a
568	PU0565	TBM	10	<OK>\nTimeout	Geolocation: On\nWhen Geolocation is On, vehicle position is 	a
569	PU0566	TBM	10	<OK>\nTimeout	Geolocation: Off\nWhen Geolocation is Off, vehicle position i	a
578	PU0575	Personal Account/Driver Profiles	30 seconds	Timeout, Vehicle in Motion, Touch outside of popup, X, Start Setup Get Started, Switch Profiles	"Welcome Driver [1]", "Start Setup Get Started", "Switch Use	b
579	PU0576	Personal Account/Driver Profiles	30 seconds	Timeout, Vehicle in Motion, Touch outside of popup, X, Start Setup Get Started, Switch Profiles	"Welcome Driver [1]", "Start Setup Get Started", "Switch Use	b
580	PU0577	Personal Account/Driver Profiles	30 seconds	Timeout, Vehicle in Motion, Touch outside of popup, X, Switch Profiles	"Welcome [username]", "Switch Users", X	b
581	PU0578	Personal Account/Driver Profiles	30 seconds	Timeout, Vehicle in Motion, Touch outside of popup, X, Switch Profiles	"Welcome [username]", "More Options", X	b
582	PU0579	Personal Account/Driver Profiles	30 seconds	Timeout, Vehicle in Motion, Touch outside of popup, X, "Exit Valet Mode"	"Valet Mode Active", Exit Valet Mode", X	b
583	PU0580	Personal Account/Driver Profiles	5 seconds	Timeout, Touch outside of popup, X	"Welcome [username]", "X"	b
585	PU0583	Personal Account/Driver Profiles	5 seconds	Timeout, Touch outside of popup, OK, X	"The memory seat position linked to this Profile cannot be r	b
587	PU0585	Personal Account/Driver Profiles	N/A	Touch outside of popup, Next Continue, X	"Enter a Username", keyboard, Next Continue, X	b+c
588	PU0586	Personal Account/Driver Profiles	N/A	Touch outside of popup, Save, X	"Select an Avatar for your Profile on this vehicle", "Save &	b
589	PU0587	Personal Account/Driver Profiles	N/A	Touch outside of popup, X,  "Yes, Exit", "No, Continue"	"Are you sure you want to cancel your Profile Setup?", "Yes,	b
590	PU0588	Personal Account/Driver Profiles	5	Timeout, Touch outside of popup,  X	"New memory seat position saved for [username].Would you lik	a+b
591	PU0589	Personal Account/Driver Profiles Connected Personal Account	5	Touch outside of popup, X	"Your Profile is now Connected to your Uconnect <Brand> Acco	a+b
592	PU0590	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,   "Yes", "No, Create New Mopar Account"	Do you have an existing Mopar account you would like to link	b
593	PU0591	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  Save	"Input an email address", keyboard, Save, X	b+c
