row	tc_id	setting	alias_status	path_now	path_proposed	control_proposed	proxi_now	proxi_proposed	flags
29	(F 欄空)	SWITCH 6 Hold Last State	manual	（無逐層路徑：Open the Vehicle Settings menu）	Settings > Aux Switches > Aux 6 > Recall Last State	On/Off Checkbox		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
30	(F 欄空)	SWITCH 6 Hold Last State	manual		Settings > Aux Switches > Aux 6 > Recall Last State	On/Off Checkbox		PROXI AUX_Switch_Types = 2 (Type 2)	ALIAS_MANUAL;FAMILY_GATE;PATH_ABSENT｜分支 (2b) 家族閘 No.267
31	(F 欄空)	Rear Guidance Lighting with Approach	UNRESOLVED	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $Utility_Lighting$ is set to "Absent"	PROXI Utility_Lighting = ? (Absent)｜RAW_MISSING：Utility_Lighting 無 Absent 標籤；負向 TC 依 §4 取 Absent	PATH_ABSENT;RAW_MISSING｜分支 (1) 形制改寫
32	(F 欄空)	Rear Guidance Lighting with Approach	UNRESOLVED	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $Utility_Lighting$ is set to "Type 1"	PROXI Utility_Lighting = 1 (Type 1)	PATH_ABSENT｜分支 (1) 形制改寫
33	(F 欄空)	Rear Guidance Lighting with Approach	UNRESOLVED	（無逐層路徑：Open the Vehicle Settings menu）					ALIAS_UNRESOLVED;PATH_ABSENT｜分支 (4) 別名未解
34	(F 欄空)	Rear Guidance Lighting with Approach	UNRESOLVED	（無逐層路徑：Open the Vehicle Settings menu）					ALIAS_UNRESOLVED;PATH_ABSENT｜分支 (4) 別名未解
35	(F 欄空)	Rear Guidance Lighting with Approach	UNRESOLVED						ALIAS_UNRESOLVED;PATH_ABSENT｜分支 (4) 別名未解
36	(F 欄空)	Rear Guidance Light Status	exact	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $Utility_Lighting$ is set to "Absent"	PROXI Utility_Lighting = ? (Absent)｜RAW_MISSING：Utility_Lighting 無 Absent 標籤；負向 TC 依 §4 取 Absent	PATH_ABSENT;RAW_MISSING｜分支 (1) 形制改寫
37	(F 欄空)	Rear Guidance Light Status	exact	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $Utility_Lighting$ is set to "Type 1"	PROXI Utility_Lighting = 1 (Type 1)	PATH_ABSENT｜分支 (1) 形制改寫
38	(F 欄空)	Rear Guidance Light Status	exact	（無逐層路徑：Open the Vehicle Settings menu）					FIP_ALWAYS_OFF;PATH_ABSENT｜分支 (2d) FIP 常數，無條件可加
39	(F 欄空)	Rear Guidance Light Status	exact	（無逐層路徑：Open the Vehicle Settings menu）					FIP_ALWAYS_OFF;PATH_ABSENT｜分支 (2d) FIP 常數，無條件可加
40	(F 欄空)	Rear Guidance Light Status	exact						FIP_ALWAYS_OFF;PATH_ABSENT｜分支 (2d) FIP 常數，無條件可加
41	(F 欄空)	E-Save	UNRESOLVED	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $eSave_Menu$ is set to "Absent"	PROXI eSave_Menu = 0 (Absent)｜負向 TC 依 §4 取 Absent	PATH_ABSENT｜分支 (1) 形制改寫
42	(F 欄空)	E-Save	UNRESOLVED	（無逐層路徑：Open the Vehicle Settings menu）			PROXI $eSave_Menu$ is set to "Without Target or With Target"	PROXI eSave_Menu = 1 (Without Target)	PATH_ABSENT｜分支 (1) 形制改寫
43	(F 欄空)	Blind Spot Alert	exact	（無逐層路徑：Open the Vehicle Settings menu）	Settings > KeySense > Blind Spot Alert	2 radio buttons "Lights" / "Lights + Chime"	PROXI $Blind_Spot_Monitoring$ is set to "Absent"	PROXI Blind_Spot_Monitoring = 0 (Absent)｜負向 TC 依 §4 取 Absent	PATH_ABSENT;VARIANT_UNRESOLVED｜分支 (1) 形制改寫
44	(F 欄空)	Blind Spot Alert	exact	（無逐層路徑：Open the Vehicle Settings menu）	Settings > KeySense > Blind Spot Alert	2 radio buttons "Lights" / "Lights + Chime"	PROXI $Blind_Spot_Monitoring$ is set to "Present"	PROXI Blind_Spot_Monitoring = 1 (Present)	PATH_ABSENT;VARIANT_UNRESOLVED｜分支 (1) 形制改寫
45	(F 欄空)	Blind Spot Alert	exact	（無逐層路徑：Open the Vehicle Settings menu）	Settings > KeySense > Blind Spot Alert	2 radio buttons "Lights" / "Lights + Chime"		PROXI Blind_Spot_Monitoring = 1 (Present)	PATH_ABSENT;VARIANT_UNRESOLVED｜分支 (2) 总控表 No.122
46	(F 欄空)	Blind Spot Alert	exact	（無逐層路徑：Open the Vehicle Settings menu）	Settings > KeySense > Blind Spot Alert	2 radio buttons "Lights" / "Lights + Chime"		PROXI Blind_Spot_Monitoring = 1 (Present)	PATH_ABSENT;VARIANT_UNRESOLVED｜分支 (2) 总控表 No.122
