row	json_tc_id	json_req_id	F_0907	D_0907	n_diff_vs_json	diff_cols_vs_json	diff_noncorpus_cols_vs_rowsort
256	NR1L-ComfortHMI-340	SWE1-HVAC-067-01	NR1L-ComfortHMI-246	SWE1-HVAC-067-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
257	NR1L-ComfortHMI-341	SWE1-HVAC-067-02	NR1L-ComfortHMI-247	SWE1-HVAC-067-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
258	NR1L-ComfortHMI-342	SWE1-HVAC-067-03	NR1L-ComfortHMI-248	SWE1-HVAC-067-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
259	NR1L-ComfortHMI-343	SWE1-HVAC-067-04	NR1L-ComfortHMI-249	SWE1-HVAC-067-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
260	NR1L-ComfortHMI-344	SWE1-HVAC-068-01	NR1L-ComfortHMI-250	SWE1-HVAC-068-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
261	NR1L-ComfortHMI-345	SWE1-HVAC-068-02	NR1L-ComfortHMI-251	SWE1-HVAC-068-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
262	NR1L-ComfortHMI-346	SWE1-HVAC-068-03	NR1L-ComfortHMI-252	SWE1-HVAC-068-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
263	NR1L-ComfortHMI-347	SWE1-HVAC-068-04	NR1L-ComfortHMI-253	SWE1-HVAC-068-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
264	NR1L-ComfortHMI-348	SWE1-HVAC-069-01	NR1L-ComfortHMI-254	SWE1-HVAC-069-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
265	NR1L-ComfortHMI-349	SWE1-HVAC-069-02	NR1L-ComfortHMI-255	SWE1-HVAC-069-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
266	NR1L-ComfortHMI-350	SWE1-HVAC-070	NR1L-ComfortHMI-256	SWE1-HVAC-070	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
267	NR1L-ComfortHMI-351	SWE1-HVAC-071-01	NR1L-ComfortHMI-257	SWE1-HVAC-071-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
268	NR1L-ComfortHMI-352	SWE1-HVAC-071-02	NR1L-ComfortHMI-258	SWE1-HVAC-071-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
269	NR1L-ComfortHMI-383	SWE1-HVAC-072	NR1L-ComfortHMI-259	SWE1-HVAC-072	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
270	NR1L-ComfortHMI-353	SWE1-HVAC-073-01	NR1L-ComfortHMI-260	SWE1-HVAC-073-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
271	NR1L-ComfortHMI-354	SWE1-HVAC-073-02	NR1L-ComfortHMI-261	SWE1-HVAC-073-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
272	NR1L-ComfortHMI-355	SWE1-HVAC-074-01	NR1L-ComfortHMI-262	SWE1-HVAC-074-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
273	NR1L-ComfortHMI-356	SWE1-HVAC-074-02	NR1L-ComfortHMI-263	SWE1-HVAC-074-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
274	NR1L-ComfortHMI-357	SWE1-HVAC-074-03	NR1L-ComfortHMI-264	SWE1-HVAC-074-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
275	NR1L-ComfortHMI-358	SWE1-HVAC-075-01	NR1L-ComfortHMI-265	SWE1-HVAC-075-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
276	NR1L-ComfortHMI-359	SWE1-HVAC-075-02	NR1L-ComfortHMI-266	SWE1-HVAC-075-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
277	NR1L-ComfortHMI-360	SWE1-HVAC-075-03	NR1L-ComfortHMI-267	SWE1-HVAC-075-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
278	NR1L-ComfortHMI-001	SWE1-HVAC-076-01	NR1L-ComfortHMI-268	SWE1-HVAC-076-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
279	NR1L-ComfortHMI-002	SWE1-HVAC-076-02	NR1L-ComfortHMI-269	SWE1-HVAC-076-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
280	NR1L-ComfortHMI-003	SWE1-HVAC-076-03	NR1L-ComfortHMI-270	SWE1-HVAC-076-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
281	NR1L-ComfortHMI-004	SWE1-HVAC-077	NR1L-ComfortHMI-271	SWE1-HVAC-077	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
282	NR1L-ComfortHMI-005	SWE1-HVAC-078-01	NR1L-ComfortHMI-272	SWE1-HVAC-078-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
283	NR1L-ComfortHMI-006	SWE1-HVAC-078-02	NR1L-ComfortHMI-273	SWE1-HVAC-078-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
284	NR1L-ComfortHMI-007	SWE1-HVAC-079-01	NR1L-ComfortHMI-274	SWE1-HVAC-079-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
285	NR1L-ComfortHMI-008	SWE1-HVAC-079-02	NR1L-ComfortHMI-275	SWE1-HVAC-079-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
286	NR1L-ComfortHMI-009	SWE1-HVAC-080-01	NR1L-ComfortHMI-276	SWE1-HVAC-080-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
287	NR1L-ComfortHMI-010	SWE1-HVAC-080-02	NR1L-ComfortHMI-277	SWE1-HVAC-080-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
288	NR1L-ComfortHMI-011	SWE1-HVAC-081-01	NR1L-ComfortHMI-278	SWE1-HVAC-081-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
289	NR1L-ComfortHMI-012	SWE1-HVAC-081-02	NR1L-ComfortHMI-279	SWE1-HVAC-081-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
