swe1_id	ccvr_batch	ccvr_items	reason
SWE1-SRA-SECURITY-SWDL-002	1	Auth-Prog CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Prog CS.93、Cert Val CS.98
SWE1-SRA-SECURITY-SWDL-003	1	Auth-Boot CS.93、Auth-Prog CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Boot CS.93、Auth-Prog CS.93、Cert Val CS.98
SWE1-SRA-SECURITY-SWDL-004	1	Auth-Boot CS.93、Auth-Prog CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Boot CS.93、Auth-Prog CS.93、Cert Val CS.98
SWE1-SRA-SECURITY-SWDL-005	1	Auth-Prog CS.93、Cert Val CS.98	Mapping detail 落點：Auth-Prog CS.93、Cert Val CS.98
SWE1-LOGENC-001	2	-	未落 CCVR 五 test item；Mapping detail 無對應
SWE1-LOGENC-002	1	Secure Log CS.212	SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-LOGENC-003	1	Secure Log CS.212	SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-LOGENC-004	1	Secure Log CS.212	SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-LOGENC-005	2	-	未落 CCVR 五 test item；Mapping detail 無對應
SWE1-LOGENC-006	1	Secure Log CS.212	SWE1-direct（037 log 斷言，R-SEC5(a)）
SWE1-LOGENC-007	2	-	未落 CCVR 五 test item；Mapping detail 無對應
SWE1-LOGENC-008	2	-	未落 CCVR 五 test item；Mapping detail 無對應
SWE1-LOGENC-009	2	-	未落 CCVR 五 test item；Mapping detail 無對應
