old_tc_id	new_tc_id	changed_cols	reason
NR1L-PowerManagement-097		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-098		nav	X-nav
NR1L-PowerManagement-099		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-100		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-101		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-102		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-103		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-104		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-105		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-106		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-107		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-108		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-109		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-110		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-111		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-112		nav	X-nav
NR1L-PowerManagement-113		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-114		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-115		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-116		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-117		10,12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-118		10,12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-119		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-120		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-121		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-122		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-123		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-124		nav	X-nav
NR1L-PowerManagement-125		nav	X-nav
NR1L-PowerManagement-126		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-127		nav	X-nav
NR1L-PowerManagement-128		nav	X-nav
NR1L-PowerManagement-129		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-130		nav	X-nav
NR1L-PowerManagement-131		nav	X-nav
NR1L-PowerManagement-132		nav	X-nav
NR1L-PowerManagement-133		nav	X-nav
NR1L-PowerManagement-134		nav	X-nav
NR1L-PowerManagement-135		nav	X-nav
NR1L-PowerManagement-136		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-137		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-138		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-139		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-140		nav	X-nav
NR1L-PowerManagement-141		nav	X-nav
NR1L-PowerManagement-142		nav	X-nav
NR1L-PowerManagement-143		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-144		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-145		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-146		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-147		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-148		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-149		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-150		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-151		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-152		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-153		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-154		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-155		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-156		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-157		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-158		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-159		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-160		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-161		12,13	P-v3→v4:bare；P-v3→v4:send
NR1L-PowerManagement-162		nav	X-nav
NR1L-PowerManagement-163		nav	X-nav
NR1L-PowerManagement-164		nav	X-nav
NR1L-PowerManagement-166		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-167		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-168		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-169		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-170		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-171		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-172		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-173		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-174		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-175		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-176		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-177		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-178		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-179		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-180		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-181		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-182		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-183		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-184		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-185		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-186		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-187		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-188		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-189		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-190		nav	X-nav
NR1L-PowerManagement-191		nav	X-nav
NR1L-PowerManagement-192		nav	X-nav
NR1L-PowerManagement-193		nav	X-nav
NR1L-PowerManagement-194		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-195		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-196		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-197		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-198		nav	X-nav
NR1L-PowerManagement-199		nav	X-nav
NR1L-PowerManagement-200		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-201		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-202		10,12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-203		10,12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-204		10,12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-205		10,12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-206		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-207		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-208		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-209		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send；X-nav
NR1L-PowerManagement-210		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-211		nav	X-nav
NR1L-PowerManagement-212		nav	X-nav
NR1L-PowerManagement-213		nav	X-nav
NR1L-PowerManagement-214		nav	X-nav
NR1L-PowerManagement-215		nav	X-nav
NR1L-PowerManagement-216		nav	X-nav
NR1L-PowerManagement-217		nav	X-nav
NR1L-PowerManagement-219		nav	X-nav
NR1L-PowerManagement-220		nav	X-nav
NR1L-PowerManagement-221		nav	X-nav
NR1L-PowerManagement-222		nav	X-nav
NR1L-PowerManagement-223		nav	X-nav
NR1L-PowerManagement-224		nav	X-nav
NR1L-PowerManagement-225		nav	X-nav
NR1L-PowerManagement-226		nav	X-nav
NR1L-PowerManagement-227		nav	X-nav
NR1L-PowerManagement-228		nav	X-nav
NR1L-PowerManagement-229		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-230		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-231		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-232		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-233		nav	X-nav
NR1L-PowerManagement-234		nav	X-nav
NR1L-PowerManagement-235		nav	X-nav
NR1L-PowerManagement-236		nav	X-nav
NR1L-PowerManagement-237		nav	X-nav
NR1L-PowerManagement-238		nav	X-nav
NR1L-PowerManagement-239		nav	X-nav
NR1L-PowerManagement-242		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-243		12	P-v3→v4:send
NR1L-PowerManagement-245		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-246		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-247		nav	X-nav
NR1L-PowerManagement-248		nav	X-nav
NR1L-PowerManagement-249		nav	X-nav
NR1L-PowerManagement-250		nav	X-nav
NR1L-PowerManagement-255		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-256		nav	X-nav
NR1L-PowerManagement-257		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-258		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-259		nav	X-nav
NR1L-PowerManagement-261		12	P-v3→v4:send
NR1L-PowerManagement-262		12	P-v3→v4:bare
NR1L-PowerManagement-263		12	P-v3→v4:bare
NR1L-PowerManagement-264		12	P-v3→v4:bare
NR1L-PowerManagement-265		12	P-v3→v4:bare
NR1L-PowerManagement-267		12	P-v3→v4:send
NR1L-PowerManagement-272		12	P-v3→v4:send
NR1L-PowerManagement-273		12	P-v3→v4:send
NR1L-PowerManagement-274		12	P-v3→v4:send
NR1L-PowerManagement-275		12	P-v3→v4:send
NR1L-PowerManagement-276		12	P-v3→v4:send
NR1L-PowerManagement-277		12	P-v3→v4:send
NR1L-PowerManagement-278		12	P-v3→v4:send
NR1L-PowerManagement-280		12	P-v3→v4:send
NR1L-PowerManagement-286		12	P-v3→v4:send
NR1L-PowerManagement-288		12	P-v3→v4:send
NR1L-PowerManagement-290		nav	X-nav
NR1L-PowerManagement-291		nav	X-nav
NR1L-PowerManagement-292		nav	X-nav
NR1L-PowerManagement-293		nav	X-nav
NR1L-PowerManagement-294		nav	X-nav
NR1L-PowerManagement-313		nav	X-nav
NR1L-PowerManagement-314		nav	X-nav
NR1L-PowerManagement-315		nav	X-nav
NR1L-PowerManagement-316		nav	X-nav
NR1L-PowerManagement-317		nav	X-nav
NR1L-PowerManagement-318		nav	X-nav
NR1L-PowerManagement-319		nav	X-nav
NR1L-PowerManagement-322		nav	X-nav
NR1L-PowerManagement-323		nav	X-nav
NR1L-PowerManagement-324		nav	X-nav
NR1L-PowerManagement-327		nav	X-nav
NR1L-PowerManagement-328		nav	X-nav
NR1L-PowerManagement-329		nav	X-nav
