feature	n	family	key	hit_rows	query
time_management	4	HMI Settings List	Traffic Sign*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Flash Lights with Sliding Door		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Intelligent Speed Options*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Trunk Unlock		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Intelligent Speed Control		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Intelligent Speed Control Offset		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Power Trunk Roof Level		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Automatic Emergency Braking*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Fratzonic Chambered Exhaust		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Interior Ambient Lighting*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Digital Keys		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Speed Limiter		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Speed Limiter - Set Speed		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	New Speed Zone Indication		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Lane Departure Warning		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	LaneSense Warning*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	LaneSense Strength*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	LaneSense*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Lane Departure Warning Sensitivity		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Lane Keeping Assist		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Lane Keeping Assist Mode		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
