filename	size	ref_count	ref_files	removable_Y_N	basis
sw_update_20260817_ext__sw_update_663d8b02_20260830.md	5773	0		Y	NO_REF
sw_update_20260817_ext__sw_update_6af353ee_20260829.md	12168	0		Y	NO_REF
sw_update_20260817_ext__sw_update_6d907b29_20260829.md	5134	0		Y	NO_REF
sw_update_20260817_ext__sw_update_711a5854_20260828.md	3495	0		Y	NO_REF
sw_update_20260817_ext__sw_update_7bab8660_20260830.md	12295	0		Y	NO_REF
sw_update_20260817_ext__sw_update_7c5e94c3_20260830.md	10985	0		Y	NO_REF
sw_update_20260817_ext__sw_update_7efbc509_20260829.md	5443	0		Y	NO_REF
sw_update_20260817_ext__sw_update_81afdf7f_20260828.md	3645	0		Y	NO_REF
sw_update_20260817_ext__sw_update_8a78b9e6_20260829.md	7169	0		Y	NO_REF
sw_update_20260817_ext__sw_update_8d4aa2ca_20260829.md	5964	0		Y	NO_REF
sw_update_20260817_ext__sw_update_8ee0c46a_20260830.md	13641	0		Y	NO_REF
sw_update_20260817_ext__sw_update_904998e5_20260830.md	7754	0		Y	NO_REF
sw_update_20260817_ext__sw_update_93320f41_20260830.md	12272	0		Y	NO_REF
sw_update_20260817_ext__sw_update_a3633876_20260828.md	3222	1	features/sw_update/docs/upstream/25_batch1_review.md	N	REFERENCED:features/sw_update/docs/upstream/25_batch1_review.md
sw_update_20260817_ext__sw_update_aadfb087_20260829.md	3215	0		Y	NO_REF
sw_update_20260817_ext__sw_update_ab27fcce_20260829.md	8015	0		Y	NO_REF
sw_update_20260817_ext__sw_update_ab9415bb_20260830.md	10587	0		Y	NO_REF
sw_update_20260817_ext__sw_update_abbe7b95_20260829.md	6139	0		Y	NO_REF
sw_update_20260817_ext__sw_update_ad131475_20260829.md	6018	0		Y	NO_REF
sw_update_20260817_ext__sw_update_b164dc6a_20260830.md	3959	0		Y	NO_REF
sw_update_20260817_ext__sw_update_bc66d5b5_20260830.md	10720	0		Y	NO_REF
sw_update_20260817_ext__sw_update_bff1d63b_20260829.md	4474	0		Y	NO_REF
sw_update_20260817_ext__sw_update_c349aefd_20260829.md	4382	0		Y	NO_REF
sw_update_20260817_ext__sw_update_c94963b8_20260830.md	6504	0		Y	NO_REF
sw_update_20260817_ext__sw_update_cc5ac549_20260828.md	3215	0		Y	NO_REF
sw_update_20260817_ext__sw_update_ce2aa160_20260830.md	5635	0		Y	NO_REF
sw_update_20260817_ext__sw_update_d3dde30c_20260830.md	13329	0		Y	NO_REF
sw_update_20260817_ext__sw_update_da955241_20260829.md	4970	0		Y	NO_REF
sw_update_20260817_ext__sw_update_e06d54b8_20260830.md	13329	0		Y	NO_REF
sw_update_20260817_ext__sw_update_e0daffc0_20260830.md	11934	0		Y	NO_REF
sw_update_20260817_ext__sw_update_f00f2a75_20260829.md	4111	0		Y	NO_REF
sw_update_20260817_ext__sw_update_f41e1abb_20260830.md	15533	0		Y	NO_REF
sw_update_20260817_ext__sw_update_f8eaca24_20260828.md	4296	0		Y	NO_REF
sw_update_20260817_ext__sw_update_faaeeea9_20260830.md	7636	0		Y	NO_REF
sw_update_20260817_ext__sw_update_ff976761_20260829.md	5964	0		Y	NO_REF
time_management_20260825_717d48d8_20260829.md	6910	0		Y	NO_REF
