leaf	cfts	chapter_num	chapter_title	hit_count	item_ids	tokens
SWE-PM-022	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941562	Sys-RA-PM-0083
SWE-PM-023	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941565	Sys-RA-PM-0084
SWE-PM-024	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941566	Sys-RA-PM-0085
SWE-PM-025	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	6	4941569,4941570,4941571,4941572,4941573,4941574	Sys-RA-PM-0086,Sys-RA-PM-0087
SWE-PM-026	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	3	4941575,4941576,4941577	Sys-RA-PM-0088
SWE-PM-027	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	2	4941579,4941642	Sys-RA-PM-0090,Sys-RA-PM-0120
SWE-PM-028	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	3	4941580,4941581,4941582	Sys-RA-PM-0091
SWE-PM-029	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	4	4941586,4941587,4941588,4941589	Sys-RA-PM-0095
SWE-PM-030	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941600	Sys-RA-PM-0101
SWE-PM-031	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941615	Sys-RA-PM-0107
SWE-PM-032	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941630	Sys-RA-PM-0117
SWE-PM-033	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	2	4941634,4941635	Sys-RA-PM-0118
SWE-PM-034	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	3	4941638,4941639,4941641	Sys-RA-PM-0119
SWE-PM-035	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	4	4941649,4941650,4941651,4941652	Sys-RA-PM-0124
SWE-PM-036	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941654	Sys-RA-PM-0126
SWE-PM-037	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941655	Sys-RA-PM-0127
SWE-PM-038	009	1.6.4.1	TLM algorithm requirements	13	4941722,4941723,4941724,4941725,4941726,4941727,4941728,4941729,4941730,4941731,4941732,4941735,4941736	Sys-RA-PM-0170,Sys-RA-PM-0171,Sys-RA-PM-0172,Sys-RA-PM-0173,Sys-RA-PM-0174,Sys-RA-PM-0175
SWE-PM-039	009	1.7.1.1.1	ID 1.0 description	4	4941768,4941773,4941774,4941775	Sys-RA-PM-0192
SWE-PM-040	009	1.9.12	Suspend to RAM	1	4941990	Sys-RA-PM-0300
SWE-PM-041	009	1.6.2.1.6	Standby	4	4941410,4941411,4941412,4941413	Sys-RA-PM-0035
SWE-PM-042	009	1.6.2.1.7	Sleep	4	4941416,4941417,4941418,4941419	Sys-RA-PM-0037
SWE-PM-043	009	1.9.5	STANDBY MODE	1	4941895	Sys-RA-PM-0272
SWE-PM-044	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	2	4941578,4941584	Sys-RA-PM-0089,Sys-RA-PM-0093
SWE-PM-045	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941585	Sys-RA-PM-0094
SWE-PM-046	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941601	Sys-RA-PM-0102
SWE-PM-047	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941602	Sys-RA-PM-0103
SWE-PM-048	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	5	4941603,4941605,4941608,4941610,4941611	Sys-RA-PM-0104
SWE-PM-049	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941623	Sys-RA-PM-0112
SWE-PM-050	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941624	Sys-RA-PM-0113
SWE-PM-051	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941643	Sys-RA-PM-0121
SWE-PM-052	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941648	Sys-RA-PM-0123
SWE-PM-053	009	1.6.2.1.16	Splash Screen logo visualization	1	4941668	Sys-RA-PM-0135
SWE-PM-054	009	1.6.2.1.16	Splash Screen logo visualization	4	4941673,4941674,4941675,4941676	Sys-RA-PM-0137,Sys-RA-PM-0138,Sys-RA-PM-0139,Sys-RA-PM-0140
SWE-PM-055	009	1.6.2.1.16	Splash Screen logo visualization	1	4941678	Sys-RA-PM-0141
SWE-PM-056	009	1.6.2.1.16	Splash Screen logo visualization	1	4941680	Sys-RA-PM-0143
SWE-PM-057	009	1.6.2.1.17	Proxi Parameters management	3	4941692,4941693,4941695	Sys-RA-PM-0146,Sys-RA-PM-0147,Sys-RA-PM-0148
SWE-PM-057	009	1.6.3.1.1	SwitchOff_Timeout_Setting.Req management	3	4941706,4941707,4941708	Sys-RA-PM-0158
SWE-PM-057	009	1.8.1.1.1	ID 1 Description	3	4941814,4941815,4941817	Sys-RA-PM-0216,Sys-RA-PM-0217,Sys-RA-PM-0218
SWE-PM-058	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	1	4941509	Sys-RA-PM-0067
SWE-PM-059	009	1.6.2.1.15	TLM_Status.Info and $Telematic_Power$ signal setting	2	4941616,4941617	Sys-RA-PM-0108
SWE-PM-060	009	1.6.3.1	TLM algorithm requirements	1	4941702	Sys-RA-PM-0155
SWE-PM-061	009	1.6.3.1	TLM algorithm requirements	1	4941703	Sys-RA-PM-0156
SWE-PM-062	009	1.6.3.1.2	Auto_SwitchOn_Setting.Req management	1	4941710	Sys-RA-PM-0160
SWE-PM-063	009	1.6.4.1	TLM algorithm requirements	1	4941715	Sys-RA-PM-0164
SWE-PM-064	009	1.6.4.1	TLM algorithm requirements	1	4941718	Sys-RA-PM-0167
SWE-PM-065	009	1.6.4.1	TLM algorithm requirements	2	4941720,4941721	Sys-RA-PM-0169
SWE-PM-066	009	1.9.4	IDLE MODE	1	4941873	Sys-RA-PM-0261
SWE-PM-067	009	1.9.4	IDLE MODE	1	4941874	Sys-RA-PM-0262
SWE-PM-068	009	1.9.4	IDLE MODE	1	4941876	Sys-RA-PM-0264
SWE-PM-069	009	1.9.4	IDLE MODE	1	4941877	Sys-RA-PM-0265
SWE-PM-070	009	1.9.4	IDLE MODE	1	4941878	Sys-RA-PM-0266
SWE-PM-071	010	1.7.1.1.1	TLM Boot	1	4942337	Sys-RA-PD_014
SWE-PM-072	010	1.7.1.1.1	TLM Boot	1	4942338	Sys-RA-PD_015
SWE-PM-073	010	1.7.2	Load Shed	1	4942354	Sys-RA-PD_019
SWE-PM-074	009	1.9.10	FOTA Pop-up	1	4941976	Sys-RA-PM-0296
SWE-PM-075	009	1.9.10	FOTA Pop-up	1	4941977	Sys-RA-PM-0297
SWE-PM-076	009	1.9.3	Power Button Reset	4	4941858,4941860,4941861,4941867	Sys-RA-PM-0251,Sys-RA-PM-0256
SWE-PM-077	009	1.9.15.1	Theme	1	4942013	Sys-RA-PM-0309
SWE-PM-078	009	1.9.15.1	Theme	1	4942014	Sys-RA-PM-0310
SWE-PM-079	009	1.9.15.1	Theme	1	4942015	Sys-RA-PM-0311
SWE-PM-080	009	1.9.15.1	Theme	1	4942017	Sys-RA-PM-0312
SWE-PM-081	009	1.9.15.1.1	Branded Font	1	4942019	Sys-RA-PM-0314
SWE-PM-082	009	1.9.15.1.4	Branded APP Icon	1	4942025	Sys-RA-PM-0320
SWE-PM-083	009	1.9.15.1.5	Branded Profile Avatars	1	4942027	Sys-RA-PM-0322
SWE-PM-084	009	1.9.15.1.6	Branded Recirc Icon	1	4942029	Sys-RA-PM-0324
SWE-PM-085	009	1.9.15.1.7	Settings Seat Graphic	1	4942033	Sys-RA-PM-0326
SWE-PM-086	009	1.9.15.1.7.1.1	Theme	1	4942041	Sys-RA-PM-0327
SWE-PM-087	009	1.9.15.1.7.1.1.6	Settings Seat Graphic	1	4942054	Sys-RA-PM-0328
SWE-PM-088	009	1.9.15.1.10	Performance Gauges	1	4942064	Sys-RA-PM-0331
SWE-PM-090	009	1.9.17	Day/Night Theme	1	4942104	Sys-RA-PM-0343
SWE-PM-091	009	1.9.17	Day/Night Theme	1	4942105	Sys-RA-PM-0344
SWE-PM-092	009	1.9.17	Day/Night Theme	1	4942107	Sys-RA-PM-0345
SWE-PM-093	009	1.3.5	Start-Up and Shut Down Animations	1	4941301	Sys-RA-PM-0007
SWE-PM-093	009	1.9.8	Startup Animation	1	4941941	Sys-RA-PM-0274
SWE-PM-094	009	1.9.8	Startup Animation	1	4941942	Sys-RA-PM-0275
SWE-PM-095	009	1.7.1.1.1	ID 1.0 description	1	4941784	Sys-RA-PM-0194
SWE-PM-096	009	1.9.16	Contextual Theme	4	4942091,4942096,4942092,4942093	Sys-RA-PM-0336
SWE-PM-097	009	1.6.2.1.16	Splash Screen logo visualization	1	4941680	Sys-RA-PM-0143
SWE-PM-098	009	1.9.8	Startup Animation	1	4941943	Sys-RA-PM-0276
SWE-PM-099	009	1.9.8	Startup Animation	2	4941944,4941945	Sys-RA-PM-0277
SWE-PM-100	009	1.9.8	Startup Animation	1	4941947	Sys-RA-PM-0279
SWE-PM-101	009	1.6.2.1.16	Splash Screen logo visualization	4	4941673,4941674,4941675,4941676	Sys-RA-PM-0137,Sys-RA-PM-0138,Sys-RA-PM-0139,Sys-RA-PM-0140
SWE-PM-102	009	1.6.2.1.16	Splash Screen logo visualization	1	4941678	Sys-RA-PM-0141
SWE-PM-103	009	1.6.2.1.2	Idle	2	4941364,4941365	Sys-RA-PM-0018
SWE-PM-104	009	1.9.9	Splash and disclaimer screen	2	4941950,4941952	Sys-RA-PM-0282,Sys-RA-PM-0284
SWE-PM-105	009	1.9.9	Splash and disclaimer screen	1	4941951	Sys-RA-PM-0283
