tc_id	req_id	outline	score	sent_idx	clause_verbatim
NR1L-ComfortHMI-366	SWE1-HVAC-007-02	2.5.1	1.00	0	C4.1) Some vehicles have a configuration for a 3 state toggle recirc button: Auto, Manual, Open.
NR1L-ComfortHMI-048	SWE1-HVAC-008-01	2.6	1.00	2	Temperature will display the current degree value that the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value.
NR1L-ComfortHMI-049	SWE1-HVAC-008-02	2.6	1.00	2	Temperature will display the current degree value that the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value.
NR1L-ComfortHMI-389	SWE1-HVAC-008-02	2.6	1.00	2	Temperature will display the current degree value that the user has set it to for ATC systems, when at the Highest possible position display HI when at the lowest display LO instead of a degree value.
NR1L-ComfortHMI-050	SWE1-HVAC-008-03	2.6	1.00	4	When the user sets the climate system temperature ranges to Metric the readout switches to half degree increments.
NR1L-ComfortHMI-051	SWE1-HVAC-008-04	2.6	1.00	5	Show pop-up when status is changed via hard control and currently shown screen is not climate screen.
NR1L-ComfortHMI-052	SWE1-HVAC-008-05	2.6	1.00	7	The temperature within the temp slider, status bar, temp slider popup, and temp popup will reflect this change in temperature increments.
NR1L-ComfortHMI-053	SWE1-HVAC-009-01	2.6.1	1.00	0	C5.1) If SYNC is ON, adjusting driver temperature affects passenger temperature, adjusting passenger temperature would break SYNC and turn it off.
NR1L-ComfortHMI-054	SWE1-HVAC-009-02	2.6.1	1.00	0	C5.1) If SYNC is ON, adjusting driver temperature affects passenger temperature, adjusting passenger temperature would break SYNC and turn it off.
NR1L-ComfortHMI-055	SWE1-HVAC-009-03	2.6.1	1.00	1	Change temperature on climate screen by using arrows (move 1 increment up/down per press, long press = fast move or slider (TEMP pop-up next to slider when touching it so that finger does not cover number).
NR1L-ComfortHMI-390	SWE1-HVAC-009-03	2.6.1	1.00	1	Change temperature on climate screen by using arrows (move 1 increment up/down per press, long press = fast move or slider (TEMP pop-up next to slider when touching it so that finger does not cover number).
NR1L-ComfortHMI-056	SWE1-HVAC-009-04	2.6.1	1.00	2	Long press = fast move shall also work for temperature HARD CONTROLS.
NR1L-ComfortHMI-057	SWE1-HVAC-009-05	2.6.1	1.00	5	The system can jump to a value as well via touching a spot in a slider bar or voice command.
NR1L-ComfortHMI-391	SWE1-HVAC-009-05	2.6.1	1.00	5	The system can jump to a value as well via touching a spot in a slider bar or voice command.
NR1L-ComfortHMI-058	SWE1-HVAC-009-06	2.6.1	1.00	6	The user can also press slider handle to move temperature slider position; if user initially presses slider area outside of handle (i.e. to the left or right of the slider handle), ignore the press.
NR1L-ComfortHMI-392	SWE1-HVAC-009-06	2.6.1	1.00	6	The user can also press slider handle to move temperature slider position; if user initially presses slider area outside of handle (i.e. to the left or right of the slider handle), ignore the press.
NR1L-ComfortHMI-059	SWE1-HVAC-010-01	2.7	1.00	1	The status is indicated on TS climate screen and in main category control.
NR1L-ComfortHMI-060	SWE1-HVAC-010-02	2.7	1.00	2	Show pop-up when status is changed via hard control and currently shown screen is not climate screen.
NR1L-ComfortHMI-061	SWE1-HVAC-010-03	2.7	1.00	3	When on climate screen, user can either use Fan up/down (minus/plus) buttons, directly touch a fan segment to jump or slide, or use Hard Control.
NR1L-ComfortHMI-393	SWE1-HVAC-010-03	2.7	1.00	3	When on climate screen, user can either use Fan up/down (minus/plus) buttons, directly touch a fan segment to jump or slide, or use Hard Control.
NR1L-ComfortHMI-394	SWE1-HVAC-010-03	2.7	1.00	3	When on climate screen, user can either use Fan up/down (minus/plus) buttons, directly touch a fan segment to jump or slide, or use Hard Control.
NR1L-ComfortHMI-062	SWE1-HVAC-010-04	2.7	1.00	4	The user shall not be able to turn the FAN off by using the FAN controls on the screen or the FAN hard control.
NR1L-ComfortHMI-395	SWE1-HVAC-010-04	2.7	1.00	4	The user shall not be able to turn the FAN off by using the FAN controls on the screen or the FAN hard control.
NR1L-ComfortHMI-063	SWE1-HVAC-010-05	2.7	1.00	6	The only way to have all FAN bars grayed out is by shutting the CLIMATE system OFF (using climate power button on the screen or hard control).
NR1L-ComfortHMI-066	SWE1-HVAC-011	2.7.1	1.00	0	C6.1) In some vehicles fan speed ranges for front hvac are: Off, 1-8.
NR1L-ComfortHMI-153	SWE1-HVAC-012-01	2.8	1.00	0	C7.) Defrost has on/ off state.
NR1L-ComfortHMI-154	SWE1-HVAC-012-02	2.8	1.00	1	Defrost can automatically turn on AC (do not show this change).
NR1L-ComfortHMI-155	SWE1-HVAC-012-03	2.8	1.00	2	Defrost automatically changes Fan speed.
NR1L-ComfortHMI-156	SWE1-HVAC-012-04	2.8	1.00	3	Defrost is mutually exclusive with other airflow modes. Auto turns Defrost off.
NR1L-ComfortHMI-157	SWE1-HVAC-012-05	2.8	1.00	4	Turning Defrost on while in Auto will break Auto and turn it off.
NR1L-ComfortHMI-396	SWE1-HVAC-012-05	2.8	1.00	4	Turning Defrost on while in Auto will break Auto and turn it off.
NR1L-ComfortHMI-158	SWE1-HVAC-012-06	2.8	1.00	6	Therefore, gray out the RECIRC button when recirc availability status from CCM denotes that.
NR1L-ComfortHMI-159	SWE1-HVAC-013-01	2.9	1.00	0	C8.) Rear Defrost has on/ off state.
NR1L-ComfortHMI-160	SWE1-HVAC-013-02	2.9	1.00	2	Therefore, gray out the REAR DEFROST button when rear defrost availability status from CCM denotes that.
NR1L-ComfortHMI-161	SWE1-HVAC-013-03	2.9	1.00	3	Rear defrost is independent of any other climate functions.
NR1L-ComfortHMI-162	SWE1-HVAC-013-04	2.9	1.00	4	Rear Defrost automatically turns on EXTERIOR REAR-VIEW MIRROR DEFROST if this feature available.
NR1L-ComfortHMI-143	SWE1-HVAC-014-01	2.10	1.00	2	When the system is turned off, show the CLIMATE OFF screen with the OFF button turned into an ON button and grey out remaining buttons except for Front/max defrost and rear defrost.
NR1L-ComfortHMI-144	SWE1-HVAC-014-02	2.10	1.00	2	When the system is turned off, show the CLIMATE OFF screen with the OFF button turned into an ON button and grey out remaining buttons except for Front/max defrost and rear defrost.
NR1L-ComfortHMI-145	SWE1-HVAC-014-03	2.10	1.00	3	"Category button shows fan greyed out and mode oscar replaced with ""OFF"" which will remain until the user turns it back on."
NR1L-ComfortHMI-146	SWE1-HVAC-014-04	2.10	1.00	4	Temperatures and units (°F/C) in status bar are substituted by dashes in all modes when climate is off.
NR1L-ComfortHMI-147	SWE1-HVAC-014-05	2.10	1.00	5	If a user presses a temp/fan control to turn climate back on, the system reinstates to the last level of that feature and if Front/Max Defrost is selected, the climate system turns back on (does not happen with rear defrost, heated/vented seats or heated wheel).
NR1L-ComfortHMI-148	SWE1-HVAC-014-06	2.10	1.00	6	If the user continues to hold/turn the control, the system will respond in-kind.
