token	count	outlines
ALLCAPS EH2	1	10.2
ALLCAPS EH3	1	10.3
ALLCAPS EH4	1	10.4
ALLCAPS EH5	1	10.5
ALLCAPS EH6	1	10.6
ALLCAPS EH7	1	10.7
ALLCAPS EH8	1	10.8
ALLCAPS EV	1	10.1
ALLCAPS FRONT	1	2.10
ALLCAPS FRONT DEF	1	3.2
ALLCAPS HU	1	13.3.1
ALLCAPS HVAC AUTO	1	10.7
ALLCAPS HVACP12	1	14.12
ALLCAPS HVACP13	1	14.13
ALLCAPS HVACP14	1	14.14
ALLCAPS HVACP2	1	14.2
ALLCAPS HVACP3	1	14.3
ALLCAPS HVACP4	1	14.4
ALLCAPS HVACP5	1	14.5
ALLCAPS HVACP6	1	14.6
ALLCAPS HVACP7	1	14.7
ALLCAPS HVACP8	1	14.8
ALLCAPS HVACP9	1	14.9
ALLCAPS HVACSB1	1	14.15
ALLCAPS HVACSB3	1	14.17
ALLCAPS HVACSB5	1	14.18
ALLCAPS HVACSB6	1	14.19
ALLCAPS HVS3	1	12.3
ALLCAPS HVS7	1	12.7
ALLCAPS ICE1	1	16.2
ALLCAPS ICE10	1	16.11
ALLCAPS ICE12	1	16.13
ALLCAPS ICE13	1	16.14
ALLCAPS ICE14	1	16.15
ALLCAPS ICE15	1	16.16
ALLCAPS ICE2	1	16.3
ALLCAPS ICE3	1	16.4
ALLCAPS ICE4	1	16.5
ALLCAPS ICE6	1	16.7
ALLCAPS ICE7	1	16.8
ALLCAPS ICE8	1	16.9
ALLCAPS ICE9	1	16.10
ALLCAPS ICS	1	2.14
ALLCAPS JL/JT	1	3.4
ALLCAPS LEFT	1	3.1
ALLCAPS LS3	1	13.4
ALLCAPS LS4	1	13.5
ALLCAPS LS5	1	13.6
ALLCAPS N0	1	13.4
ALLCAPS NAV	1	14.5
ALLCAPS OK	1	14.7
ALLCAPS R1	1	2.1
ALLCAPS R1C1	1	2.1
ALLCAPS R1H	1	14.19
ALLCAPS R1HS4	1	11.11.1
ALLCAPS R1HVS2	1	11.9
ALLCAPS R1HVS3	1	11.10
ALLCAPS R1HVS4	1	11.11
ALLCAPS REAR CLIMATE	1	7.6
ALLCAPS REAR CLIMATE OFF	1	7.6
ALLCAPS REAR DEF	1	3.3
ALLCAPS REAR OFF	1	7.6
ALLCAPS REAR ON	1	7.6
ALLCAPS RIGHT	1	3.1
ALLCAPS RIGHT/LEFT	1	3.1
ALLCAPS RVC	1	14.2
ALLCAPS SHVS1	1	12.8
ALLCAPS SHVS2	1	12.9
ALLCAPS TEMPERATURE	1	2.14
ALLCAPS UNLOCK REAR	1	7.3
ALLCAPS UP	1	3.1
ALLCAPS VF HVAC	1	2.13
ALLCAPS VIEWMIRROR DEFROST	1	16.15
ALLCAPS W1HVS2	1	11.8
NONASCII '’' U+2019 RIGHT SINGLE QUOTATION MARK	1	16.8
NUM[digit-digit] 1-8	1	2.7.1
NUM[digit/digit] 1/12	1	17.4
NUM[digit/digit] 4/10	1	17.4
