leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-ScreenOFF-048	Common Features	ScreenOFF	no	no	no	no			writable=B2
SWE1-VC-ScreenOFF-049	Common Features	ScreenOFF	yes	no	yes	yes			
SWE1-VC-ScreenOFF-050	Common Features	ScreenOFF	yes	no	yes	yes			
SWE1-VC-ScreenOFF-051	Common Features	ScreenOFF	yes	no	yes	yes			
SWE1-VC-ScreenOFF-052	Common Features	ScreenOFF	yes	no	yes	yes			
SWE1-VC-Stop-StartSystem-002	Common Features	Stop-StartSystem	yes	no	yes	yes			
SWE1-VC-Stop-StartSystem-003	Common Features	Stop-StartSystem	yes	no	yes	yes			
SWE1-VC-Stop-StartSystem-004	Common Features	Stop-StartSystem	no	no	no	no			writable=B2
SWE1-VC-Stop-StartSystem-005	Common Features	Stop-StartSystem	no	no	no	no			writable=B2
SWE1-VC-Stop-StartSystem-006	Common Features	Stop-StartSystem	no	no	no	no			writable=B2
SWE1-VC-Stop-StartSystem-007	Common Features	Stop-StartSystem	yes	no	yes	yes			
SWE1-VC-StopStartSystemBehavior-054	Common Features	StopStartSystemBehavior	yes	no	yes	yes			
