leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-ThreeStagesVentedSeatsManagement-068	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-069	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-070	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-071	Vented Seat	ThreeStagesVentedSeatsManagement	yes	yes	yes	yes			
SWE1-VC-ThreeStagesVentedSeatsManagement-072	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-073	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-074	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-075	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-076	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-077	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-078	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-079	Vented Seat	ThreeStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-ThreeStagesVentedSeatsManagement-080	Vented Seat	ThreeStagesVentedSeatsManagement	yes	blocked	no	no			delegate=blocked
SWE1-VC-ThreeStagesVentedSeatsManagement-081	Vented Seat	ThreeStagesVentedSeatsManagement	yes	blocked	no	no			delegate=blocked
SWE1-VC-TwoStagesHeatedSeat-055	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-056	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-057	Heated Seat	TwoStagesHeatedSeat	yes	yes	yes	yes			
SWE1-VC-TwoStagesHeatedSeat-058	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-059	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-060	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-061	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-062	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-063	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-064	Heated Seat	TwoStagesHeatedSeat	yes	blocked	no	no	screen	DR-5-B	delegate=blocked
SWE1-VC-TwoStagesHeatedSeat-065	Heated Seat	TwoStagesHeatedSeat	yes	blocked	no	no	screen	DR-5-B	delegate=blocked
SWE1-VC-TwoStagesHeatedSeat-066	Heated Seat	TwoStagesHeatedSeat	yes	yes	yes	yes			
SWE1-VC-TwoStagesHeatedSeat-067	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-068	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-069	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-070	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-071	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-072	Heated Seat	TwoStagesHeatedSeat	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesHeatedSeat-073	Heated Seat	TwoStagesHeatedSeat	yes	blocked	no	no			delegate=blocked
SWE1-VC-TwoStagesHeatedSeat-074	Heated Seat	TwoStagesHeatedSeat	yes	blocked	no	no			delegate=blocked
SWE1-VC-TwoStagesVentedSeatsManagement-037	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-038	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-039	Vented Seat	TwoStagesVentedSeatsManagement	yes	yes	yes	yes			
SWE1-VC-TwoStagesVentedSeatsManagement-040	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-041	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-042	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-043	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-044	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-045	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-046	Vented Seat	TwoStagesVentedSeatsManagement	yes	blocked	no	no	screen	DR-5-B	delegate=blocked
SWE1-VC-TwoStagesVentedSeatsManagement-047	Vented Seat	TwoStagesVentedSeatsManagement	yes	blocked	no	no	screen	DR-5-B	delegate=blocked
SWE1-VC-TwoStagesVentedSeatsManagement-048	Vented Seat	TwoStagesVentedSeatsManagement	yes	yes	yes	yes			
SWE1-VC-TwoStagesVentedSeatsManagement-049	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-050	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-051	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-052	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-053	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-054	Vented Seat	TwoStagesVentedSeatsManagement	no	yes	no	no			writable=B2|quoted_form_risk
SWE1-VC-TwoStagesVentedSeatsManagement-055	Vented Seat	TwoStagesVentedSeatsManagement	yes	blocked	no	no			delegate=blocked
SWE1-VC-TwoStagesVentedSeatsManagement-056	Vented Seat	TwoStagesVentedSeatsManagement	yes	blocked	no	no			delegate=blocked
