source	kind	target	line_sha8	line	reason
features/comfort/docs/handoff/07_upstream03_review.md	section	§3	fde8de09	131	historical-record
features/comfort/docs/handoff/09_upstream04_review.md	section	§4	42fb1b9d	136	historical-record
features/comfort/docs/handoff/10_phase3_start.md	section	§0	c1d7c307	113	historical-record
features/comfort/docs/handoff/15_profile_draft.md	section	§2	f908ff57	66	historical-record
features/comfort/docs/handoff/17_g1_baseline_exhaustiveness.md	section	§1	c78c546f	149	historical-record
features/comfort/docs/handoff/17_g1_baseline_exhaustiveness.md	section	§3	c78c546f	149	historical-record
features/comfort/docs/handoff/19_pilot_rulings.md	section	§2	d2f97a5e	191	historical-record
features/comfort/docs/handoff/19_pilot_rulings.md	section	§4	d2f97a5e	191	historical-record
features/comfort/docs/handoff/22_rev3_review.md	section	§6	91a9a7b0	132	historical-record
features/comfort/docs/handoff/23_rev4_review.md	section	§1	cb227b62	143	historical-record
features/comfort/docs/handoff/23_rev4_review.md	section	§2	cb227b62	143	historical-record
features/comfort/docs/handoff/29_axes_rc29_rc30.md	section	§2	8198b902	151	historical-record
features/comfort/docs/handoff/30_batch2_content_review.md	section	§1	3b3ad5e5	156	historical-record
features/comfort/docs/handoff/33_rc33_axes.md	section	§8.1	86f225d6	28	historical-record
features/comfort/docs/handoff/33_rc33_axes.md	section	§3	83e916bd	182	historical-record
features/comfort/docs/handoff/91_closeout.md	section	§4	0fb9faaa	34	historical-record
features/comfort/docs/handoff/91_closeout.md	section	§4	035d00ca	102	historical-record
features/comfort/docs/upstream/02_phase2_review.md	section	§4	a220aaa1	28	historical-record
features/comfort/docs/upstream/02_phase2_review.md	section	§2	a80eb63a	217	historical-record
features/comfort/docs/upstream/10_pilot_and_exhaustiveness.md	section	§9	88ec2c15	280	historical-record
features/comfort/docs/upstream/10_pilot_and_exhaustiveness.md	section	§9	4decb331	286	historical-record
features/comfort/docs/upstream/20_batch2_final.md	section	§9	0c8f36a0	293	historical-record
features/comfort/feature.yaml	section	§3	ef979138	21	active-backlog
features/comfort/feature.yaml	section	§2	a5b076e9	68	active-backlog
features/comfort/scripts/build_layer3_map.py	section	§0	2d6fc078	5	active-backlog
features/comfort/scripts/lint_tcs.py	section	§1	3384bfa6	272	active-backlog
features/display/docs/handoff/01_intake_recon.md	section	§2	719762ce	312	historical-record
features/display/docs/handoff/01_intake_recon.md	section	§3	686e9de1	317	historical-record
features/display/docs/handoff/01_intake_recon.md	section	§0	3cdb0996	337	historical-record
features/home/DECISIONS.md	section	§4	78311584	3	active-backlog
features/home/PLAYBOOK.md	section	§0	c890e78b	14	active-backlog
features/home/PLAYBOOK.md	section	§0	b9fdccd5	78	active-backlog
features/home/PLAYBOOK.md	section	§6	e5e4db78	100	active-backlog
features/home/PLAYBOOK.md	section	§5	67bb1c6e	149	active-backlog
features/power/DECISIONS.md	section	§4	2c9e652d	3	active-backlog
features/power/PLAYBOOK.md	section	§0	b9fdccd5	53	active-backlog
features/power/PLAYBOOK.md	section	§6	e5e4db78	75	active-backlog
features/power/PLAYBOOK.md	section	§5	67bb1c6e	124	active-backlog
features/power/RUNBOOK.md	section	§3	d993103a	9	active-backlog
features/power/docs/upstream/12_pilot_fixes.md	section	§8.5	71464188	1289	historical-record
features/power/feature.yaml	section	§2	682c8d0d	73	active-backlog
features/power_moding/ANOMALIES.md	section	§3	ab74294a	123	active-backlog
features/power_moding/ANOMALIES.md	section	§3	5f32ad98	142	active-backlog
features/power_moding/ANOMALIES.md	section	§3	d2a672f0	184	active-backlog
features/power_moding/ANOMALIES.md	section	§2	81c7ad9b	404	active-backlog
features/power_moding/DECISIONS.md	section	§4	78311584	3	active-backlog
features/power_moding/PLAYBOOK.md	section	§0	b9fdccd5	53	active-backlog
features/power_moding/PLAYBOOK.md	section	§6	e5e4db78	75	active-backlog
features/power_moding/PLAYBOOK.md	section	§5	67bb1c6e	124	active-backlog
features/power_moding/RUNBOOK.md	section	§3	d993103a	9	active-backlog
features/power_moding/docs/INDEX.md	section	§8.7	d2763fcf	3	active-backlog
features/power_moding/docs/INDEX.md	section	§2	3d5d2190	46	active-backlog
features/power_moding/docs/INDEX.md	section	§3	a9eb7dd4	52	active-backlog
features/power_moding/docs/INDEX.md	section	§3	5c02e7e7	710	active-backlog
features/power_moding/docs/handoff/01_intake.md	section	§2	4bcd72bc	182	historical-record
features/power_moding/docs/handoff/01_intake.md	section	§2	7896b5ff	188	historical-record
features/power_moding/docs/handoff/01_intake.md	section	§2	1f839f8f	228	historical-record
features/power_moding/docs/handoff/01_intake.md	section	§3	4bdb5704	232	historical-record
features/power_moding/docs/handoff/01_intake.md	section	§0	da4b8968	247	historical-record
features/power_moding/docs/handoff/01_intake.md	section	§2	bf4db9d9	270	historical-record
features/power_moding/docs/handoff/02_baseline_switch.md	section	§3	f1547ae4	46	historical-record
features/power_moding/docs/handoff/02_baseline_switch.md	section	§0	9c404a91	209	historical-record
features/power_moding/docs/handoff/03_testgroup_and_dv.md	section	§0	9c404a91	229	historical-record
features/power_moding/docs/handoff/04_corpus_and_assertions.md	section	§0	9c404a91	269	historical-record
features/power_moding/docs/handoff/05_corpus_fix_and_framework_prep.md	section	§0	9c404a91	205	historical-record
features/power_moding/docs/handoff/06_framework_proposal.md	section	§0	9c404a91	294	historical-record
features/power_moding/docs/handoff/07_gap_widening.md	section	§0	9c404a91	208	historical-record
features/power_moding/docs/handoff/08_criterion_repair.md	section	§0	9c404a91	192	historical-record
features/power_moding/docs/handoff/09_threshold_derivation.md	section	§0	9c404a91	198	historical-record
features/power_moding/docs/handoff/10_profile_draft.md	section	§0	9c404a91	398	historical-record
features/power_moding/docs/handoff/11_claim_evidence.md	section	§0	9c404a91	153	historical-record
features/power_moding/docs/handoff/12_phase4_batch1.md	section	§0	9c404a91	203	historical-record
features/power_moding/docs/handoff/13_batch1_rework.md	section	§8.5	95f7e087	99	historical-record
features/power_moding/docs/handoff/13_batch1_rework.md	section	§8.5	2f24f61e	209	historical-record
features/power_moding/docs/handoff/13_batch1_rework.md	section	§0	9c404a91	312	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§2	96f8f054	173	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§2	9a72e653	214	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§3	60173064	264	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§3	0342887b	309	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§3	ab370a3e	312	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§3	01161237	421	historical-record
features/power_moding/docs/upstream/01_intake.md	section	§0	cc2b2fa8	514	historical-record
features/power_moding/docs/upstream/02_baseline_switch.md	section	§2	8c1bc6ce	305	historical-record
features/power_moding/docs/upstream/06_framework_proposal.md	section	§8.2	4a06ef49	152	historical-record
features/power_moding/docs/upstream/12_phase4_batch1.md	section	§3	a5aad1fb	177	historical-record
features/power_moding/feature.yaml	section	§3	5be427f8	90	active-backlog
features/power_moding/feature.yaml	section	§2	249f53a5	178	active-backlog
features/power_moding/framework.md	section	§8.2	ebb8b256	68	active-backlog
features/power_moding/scripts/lint_batch.py	section	§8.5	90523a6d	5	active-backlog
features/privacy/ANOMALIES.md	section	§6	caf11142	78	active-backlog
features/privacy/DECISIONS.md	section	§4	78311584	3	active-backlog
features/privacy/PLAYBOOK.md	section	§0	c890e78b	14	active-backlog
features/privacy/PLAYBOOK.md	section	§0	b9fdccd5	77	active-backlog
features/privacy/PLAYBOOK.md	section	§6	e5e4db78	99	active-backlog
features/privacy/PLAYBOOK.md	section	§5	67bb1c6e	148	active-backlog
features/privacy/RUNBOOK.md	section	§3	d993103a	9	active-backlog
features/privacy/docs/handoff/00_bootstrap.md	section	§0	f45577a2	192	historical-record
features/privacy/docs/upstream/00_bootstrap.md	section	§2	cc5d7931	192	historical-record
features/privacy/feature.yaml	section	§3	40e5a546	22	active-backlog
features/privacy/feature.yaml	section	§2	a5b076e9	67	active-backlog
features/projection/ANOMALIES.md	section	§7.6	98a550ce	1567	active-backlog
features/projection/ANOMALIES.md	section	§7.6	af689f86	1569	active-backlog
features/projection/ANOMALIES.md	section	§6	c97f1304	2083	active-backlog
features/projection/ANOMALIES.md	section	§7	84b0d45d	2244	active-backlog
features/projection/ANOMALIES.md	section	§7	f5338503	2255	active-backlog
features/projection/ANOMALIES.md	section	§8	f5338503	2255	active-backlog
features/projection/DECISIONS.md	section	§4	2d959696	3	active-backlog
features/projection/DECISIONS.md	section	§6	f8279854	542	active-backlog
features/projection/DECISIONS.md	section	§6	bd0dddc8	913	active-backlog
features/projection/DECISIONS.md	section	§6	0362c467	914	active-backlog
features/projection/DECISIONS.md	section	§6	558f9ebd	915	active-backlog
features/projection/DECISIONS.md	section	§3	f6a7522b	1059	active-backlog
features/projection/DECISIONS.md	section	§6	183e4418	1580	active-backlog
features/projection/DECISIONS.md	section	§7.2	ad90507d	1623	active-backlog
features/projection/DECISIONS.md	section	§8	8991ce54	1689	active-backlog
features/projection/DECISIONS.md	section	§8	5215b495	1691	active-backlog
features/projection/DECISIONS.md	section	§8	90a9cf3a	1698	active-backlog
features/projection/DECISIONS.md	section	§2	0e976555	1754	active-backlog
features/projection/DECISIONS.md	section	§2	c6573f66	1850	active-backlog
features/projection/PLAYBOOK.md	section	§0	c890e78b	14	active-backlog
features/projection/PLAYBOOK.md	section	§0	b9fdccd5	76	active-backlog
features/projection/PLAYBOOK.md	section	§6	e5e4db78	98	active-backlog
features/projection/PLAYBOOK.md	section	§5	67bb1c6e	147	active-backlog
features/projection/RUNBOOK.md	section	§2	92046bdd	9	active-backlog
features/projection/docs/INDEX.md	section	§8	295cca27	32	active-backlog
features/projection/docs/handoff/12_phase7_step6_conditions.md	section	§6	efa5bf6f	193	historical-record
features/projection/docs/handoff/14_apj69_rerun.md	section	§7	ab746da7	139	historical-record
features/projection/docs/handoff/15_phase7_closeout.md	section	§7	7a79a409	143	historical-record
features/projection/docs/handoff/15_phase7_closeout.md	section	§7	205da45e	169	historical-record
features/projection/docs/handoff/15_phase7_closeout.md	section	§1	27aa1133	205	historical-record
features/projection/docs/handoff/16_closeout_disposition.md	section	§5	68111fed	191	historical-record
features/projection/docs/handoff/17_delivery_precheck.md	section	§7.3	f4289c6e	53	historical-record
features/projection/docs/handoff/17_delivery_precheck.md	section	§1	7b35f470	133	historical-record
features/projection/docs/handoff/19_sidecar_policy.md	section	§1	3052e9ed	109	historical-record
features/projection/docs/handoff/20_archive_and_charter.md	section	§7.2	ad90507d	96	historical-record
features/projection/docs/handoff/20_archive_and_charter.md	section	§6	798b0fca	202	historical-record
features/projection/docs/handoff/21_canon_s8_and_charter.md	section	§8	7f8ec208	1	historical-record
