# R-G22′ 遷移對照（下放包 57 T69a）：既有引用之 sha8 為舊式（含成因段），改制後 R-G13 之比對一律用 body_sha8。`same=Y` 者其引用不受影響。
ruling_id	old_sha8	new_body_sha8	same	body_kind	source
R-C13	0b64f050	0b64f050	Y	section	features/comfort/RULINGS.md
R-C14	5c1a2ef4	5c1a2ef4	Y	section	features/comfort/RULINGS.md
R-C18	1abb4f7b	1abb4f7b	Y	section	features/comfort/RULINGS.md
R-DD1	a9b76e4b	1d6ed751	N	fenced	features/driver_distraction/RULINGS.md
R-DD2	da3cd8ec	4b7f280d	N	fenced	features/driver_distraction/RULINGS.md
R-DD3	cc7aea6c	b1a60675	N	fenced	features/driver_distraction/RULINGS.md
R-DD4	8d4f36bf	1a994cb0	N	fenced	features/driver_distraction/RULINGS.md
R-DD5	75513f31	f2df393c	N	fenced	features/driver_distraction/RULINGS.md
R-DD6	f28ee265	931890f5	N	fenced	features/driver_distraction/RULINGS.md
R-DD7	f33ed793	09d17956	N	fenced	features/driver_distraction/RULINGS.md
R-DD8	5dca74aa	7bfc2e06	N	fenced	features/driver_distraction/RULINGS.md
R-DD6	a5cbaf9c	b892a8c1	N	fenced	features/driver_distraction/RULINGS.md
R-DD9	965b6d4c	cef0d2cd	N	fenced	features/driver_distraction/RULINGS.md
R-DD10	6f601dd1	add4e6c6	N	fenced	features/driver_distraction/RULINGS.md
R-DD11	872344f4	ba0be3d1	N	fenced	features/driver_distraction/RULINGS.md
R-DD12	42ddd946	72c0bc97	N	fenced	features/driver_distraction/RULINGS.md
R-DD13	d46f4c85	580a9d00	N	fenced	features/driver_distraction/RULINGS.md
R-DD14	590f1cdc	9c6aca2d	N	fenced	features/driver_distraction/RULINGS.md
R-DD15	b344ee36	7217e9c9	N	fenced	features/driver_distraction/RULINGS.md
R-DD16	85588cb1	40101c2c	N	fenced	features/driver_distraction/RULINGS.md
R-DD17	a9ecb4c1	7ba1043d	N	fenced	features/driver_distraction/RULINGS.md
R-DD18	a79ceb6c	110b6a1d	N	fenced	features/driver_distraction/RULINGS.md
R-DD19	e293c320	0a0ed764	N	fenced	features/driver_distraction/RULINGS.md
