lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
Charging_Contract	CAN Mapping	0	HU Schedule 1 Setter Signal for notifying the EVCU/HCP of the External Charging Contract presence Enums needed for contract type	CHARGE_SCHEDULE_HU1.Charging_Contract	FD	See dbc				As of V1.44, Atlantis High message.signal is in process so actual signal name may change.	Atlantis	
Charging_Contract_Sts	CAN Mapping	0	EVCU/HCP Confirmation of Contract Status Enums needed for contract type	CHARGE_SCHEDULE_HCP1.Charging_Contract_Sts	FD	See dbc				As of V1.44, Atlantis High message.signal is in process so actual signal name may change.	Atlantis	
ChargingDestinationPwr	CAN Mapping	0	"Power of the Charging Station. If ""No Charging Destination"" it means that the customer is no driving to a Charging Station"	TELEMATIC_FD_15.ChargingDestinationPwr	CAN-FD	0 : No Information available 63 : No Charging Destination					Atlantis	
ChargingDestinationVoltage	CAN Mapping	0	"Voltage of the Charging Station. If ""No Charging Destination"" it means that the customer is no driving to a Charging Station"	TELEMATIC_FD_15.ChargingDestinationVoltage	CAN-FD	0 : No Information available 127 : No Charging Destination					Atlantis	
ChargingLevel	CAN Mapping	0	Charging level and type,	HYBRID_DISPLAY.ChargingLevelForDisplay	FD	0 = Default_NoLevel 1 = Level_1_AC 2 = Level_2_AC 3 = Level_3_AC 4 = Level_1_DC 5 = Level_2_DC 6 = PlugInNotDet 7 = PPI_1_No_Drive 8 = PPI_2_OK_Drive 15 = SNA	GW_B_3.ChargingLevel		Atlantis 4 bit signal 0 = Default_NoLevel 1 = Level_1_AC 2 = Level_2_AC 3 = Level_3_AC 4 = Level_1_DC 5 = Level_2_DC 6 = PlugInNotDet 7 = PPI_1_No_Drive 8 = PPI_2_OK_Drive 15 = SNA	CR10644	Atlantis	
ChargingLevel	CAN Mapping	0	ChargingLevel							duplicate and should be deleted	Atlantis	
ChargingSysFault	CAN Mapping	0								As of V1.49 this LID is not used.	Atlantis	
ChargingSysSts	CAN Mapping	0	Charging System status	HYBRID_DISPLAY.ChargeSystemSts_DPT	FD	See dbc file				CR10644	Atlantis	
ChargingSysSts	CAN Mapping	0	ChargingSysSts							duplicate and should be deleted	Atlantis	
CheckFuelCap	CAN Mapping	0	CheckFuelCap	ENGINE_FD_6.ChkFuelCap	FD	ATLANTIS 1 bit signal 0 = Not_Detected 1 = Detected	STATUS_ECM.ChkFuelCap		ATLANTIS 1 bit signal 0 = Not_Detected 1 = Detected		Atlantis	
Chiller_Sft_Btn_Req	CAN Mapping	0	Chiller Soft Button Request								Atlantis	
Chiller_Sft_Btn_Status	CAN Mapping	0	Chiller Soft Button Status								Atlantis	
ChkFuelLevelSts	CAN Mapping	0		BCM_FD_6.ChkFuelLevelSts			BODY3.ChkFuelLevelSts				Atlantis	
ChrgSysFault	CAN Mapping	0	Charging System Fault	HYBRID_DISPLAY.ChargeSystemFault_DPT	FD	See dbc file				CFTS037 usage only, Pnet only.	Atlantis	
CHRGSystemFail	CAN Mapping	0	CHRGSystemFail	ENGINE_FD_2.AlternatorFail	FD	ATLANTIS 1 bit signal 0 = Alternator_Fail 1 = Alternator_Not_In_Fail	ENGINE1.AlternatorFail		ATLANTIS 1 bit signal 0 = Alternator_Fail 1 = Alternator_Not_In_Fail		Atlantis	
ClariFiPrsnt	CAN Mapping	0	ClariFi Present				N/A		N/A		Atlantis	ATL_HIGH_EMPTY
ClariFiREQ	CAN Mapping	0	ClariFi Activation Request				N/A		N/A		Atlantis	ATL_HIGH_EMPTY
ClariFiSTS	CAN Mapping	0	ClariFi status				N/A		N/A		Atlantis	ATL_HIGH_EMPTY
Clear_Trailer_TPM_Settings	CAN Mapping	0		Radio_A4.Clear_Trailer_TPM_Settings			Radio_A4.Clear_Trailer_TPM_Settings				Atlantis	
ClearPersonalDataReq	CAN Mapping	0		TELEMATIC_VEHICLE_SETUP.ClearPersonalDataReq			TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq				Atlantis	
ClientSignalStrength	CAN Mapping	0	signal strength for the Wifi Network	TBM_FD_2.WiFi_Network_Signal_Strength		0 = 0 1 = 1 2 = 2 3 = 3 4 = 4 5 = 5 7 = SNA	GLOB_CON.ClientSignalStrength				Atlantis	
Climate_Cabin_Temp1	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.Climate_Cabin_Temp1	FD	See dbc file					Atlantis	
Climate_Cabin_Temp2	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.Climate_Cabin_Temp2	FD	See dbc file					Atlantis	
ClimateSchd1_Day	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.ClimateSchd1_Day	FD	See dbc file					Atlantis	
ClimateSchd1_Departure_Hr	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.ClimateSchd1_Departure_Hr	FD	See dbc file					Atlantis	
ClimateSchd1_Departure_Min	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.ClimateSchd1_Departure_Min	FD	See dbc file					Atlantis	
ClimateSchd2_Day	CAN Mapping	0		CLIMATE_SCHEDULE_HU2.ClimateSchd2_Day	FD	See dbc file					Atlantis	
ClimateSchd2_Departure_Hr	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.ClimateSchd2_Departure_Hr	FD	See dbc file					Atlantis	
ClimateSchd2_Departure_Min	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.ClimateSchd2_Departure_Min	FD	See dbc file					Atlantis	
CLIMATIC_PANEL_Climate_btn1	CAN Mapping	0		CLIMATIC_PANEL.Climate_btn1 (BH-CAN)			CLIMATIC_PANEL.Climate_btn1 (BH-CAN)				Atlantis	
CLIMATIC_PANEL_Climate_btn11	CAN Mapping	0		CLIMATIC_PANEL.Climate_btn11 (BH-CAN)			CLIMATIC_PANEL.Climate_btn11 (BH-CAN)				Atlantis	
CLIMATIC_PANEL_Climate_btn12	CAN Mapping	0		CLIMATIC_PANEL.Climate_btn12 (BH-CAN)			CLIMATIC_PANEL.Climate_btn12 (BH-CAN)				Atlantis	
CLIMATIC_PANEL_Climate_btn13	CAN Mapping	0		CLIMATIC_PANEL.Climate_btn13 (BH-CAN)			CLIMATIC_PANEL.Climate_btn13 (BH-CAN)				Atlantis	
CLIMATIC_PANEL_Climate_btn8	CAN Mapping	0		CLIMATIC_PANEL.Climate_btn8 (BH-CAN)			CLIMATIC_PANEL.Climate_btn8 (BH-CAN)				Atlantis	
CLIMATIC_PANEL2_Climate_Knob2_DIR	CAN Mapping	0		CLIMATIC_PANEL2.Climate_Knob2_DIR (BH-CAN)			CLIMATIC_PANEL2.Climate_Knob2_DIR (BH-CAN)				Atlantis	
CLIMATIC_PANEL2_Climate_Knob2_VAL	CAN Mapping	0		CLIMATIC_PANEL2.Climate_Knob2_VAL (BH-CAN)			CLIMATIC_PANEL2.Climate_Knob2_VAL (BH-CAN)				Atlantis	
CLIMATIC_PANEL2_Mode_Knob_VAL	CAN Mapping	0		CLIMATIC_PANEL2.Mode_Knob_VAL (BH-CAN)			CLIMATIC_PANEL2.Mode_Knob_VAL (BH-CAN)				Atlantis	
CLS_LkSw_Psd_D	CAN Mapping	0	Interior Driver side Lock (With Driver door module)				NA.Not on CAN.		NA		Atlantis	ATL_HIGH_EMPTY
CLS_LkSw_Psd_P	CAN Mapping	0	Interior Passenger side Lock (With Passenger door module)				NA.Not on CAN.		NA		Atlantis	ATL_HIGH_EMPTY
CLS_UnlkSw_Psd_D	CAN Mapping	0	Interior Driver side UnLock (With Driver door module)				NA.Not on CAN.		NA		Atlantis	ATL_HIGH_EMPTY
CLS_UnlkSw_Psd_P	CAN Mapping	0	Interior Passenger side UnLock (With Passenger door module)				NA.Not on CAN.		NA		Atlantis	ATL_HIGH_EMPTY
Cluster_In_Audio_Md	CAN Mapping	0		IPC_FD_11.Cluster_In_Audio_Md	FD	0 = Not_Active 1 = Active	CLUSTER3.Cluster_In_Audio_Md		0=Disabled 1=Enabled		Atlantis	
CM_TCH_PT_DTV	CAN Mapping	0	HU touch Screen Status is intended for DTV	TELEMATIC_FD_5.CM_TCH_PT_DTV	FD	0 = Not Active 1 = Touch screen pointer for DTV Video Active	CM_CTRL.CM_TCH_PT_DTV		0= None 1= Touch screen data pointer for DTV		Atlantis	
CM_TCH_PT_TMM	CAN Mapping	0	HU touch Screen Status is intended for Track Mapping Module								Atlantis	
CM_TCH_PT_VES	CAN Mapping	0	HU touch Screen Status is intended for rear screen system	TELEMATIC_FD_5.CM_TCH_PT_VES2	FD	1 bit signal	CM_CTRL.CM_TCH_PT_VES2				Atlantis	
CM_TCH_STAT	CAN Mapping	0	HU Touch Screen Status	TELEMATIC_FD_5.CM_TCH_STAT	FD	0 = TCH_NOT_PSD 1 = TCH_PSD 2 = TCH_PS_CAN 3 = Not_Used 4 = TCH_CFG_RES 5 = TCH_CFG_OFFSET 6 = TCH_CFG_MAX 7 = SNA	CM_CTRL.CM_TCH_STAT		0=Touch screen not pressed / TCH_NOT_PSD 1= Touch screen pressed, units are grid points / TCH_PSD 2= Touch screen press cancel / TCH_PS_CAN 4=Touch screen config, resolution in pixels / TCH_CFG_RES 5= Touch screen config, upper left in grid points / TCH_CFG_OFFSET 6=Touch screen config, lower right in grid points / TCH_CFG_MAX 7= SNA		Atlantis	
CM_TCH_X_COORD	CAN Mapping	0	Value for the touch screen X axis coordinates	TELEMATIC_FD_5.CM_TCH_X_COORD	FD	16 bit signal	CM_CTRL.CM_TCH_X_COORD		0 - 65535 resolution : 1		Atlantis	
CM_TCH_Y_COORD	CAN Mapping	0	Value for the touch screen Y axis coordinates	TELEMATIC_FD_5.CM_TCH_Y_COORD	FD	16 bit signal	CM_CTRL.CM_TCH_Y_COORD		0 - 65535 resolution : 1		Atlantis	
CmplxInsct_CS	CAN Mapping	0	Indicates the Segment Complex Intersection.				SEGMENT.ADAS_Seg_Cmplxlnsct	CAN-B			Atlantis	ATL_HIGH_EMPTY
ColorZone1	CAN Mapping	0	Determines ambient lighting color for specified zone in the vehicle	RADIO_B4.IntelAmbLight_Color_Zone1	BH	0 = SNA 1 = Color 1 2 = Color 2 3 = Color 3 4 = Color 4 5 = Color 5 6 = Color 6 7 = Color 7					Atlantis	
ColorZone2	CAN Mapping	0	Determines ambient lighting color for specified zone in the vehicle	RADIO_B4.IntelAmbLight_Color_Zone2	BH	0 = SNA 1 = Color 1 2 = Color 2 3 = Color 3 4 = Color 4 5 = Color 5 6 = Color 6 7 = Color 7					Atlantis	
Command_11	CAN Mapping	0	Left Front EVIC Switches - EVIC switch Left	BCM_FD_14.Command_11Sts	FD	Not_Pressed Pressed SNA	SWC.Command_11Sts		Not_Pressed Pressed SNA		Atlantis	
Command_12	CAN Mapping	0	Left Front EVIC Switches - EVIC switch Down	BCM_FD_14.Command_12Sts	FD	Not_Pressed Pressed SNA	SWC.Command_12Sts		Not_Pressed Pressed SNA		Atlantis	
Command_13	CAN Mapping	0	Left Front EVIC Switches - EVIC switch Right	BCM_FD_14.Command_13Sts	FD	Not_Pressed Pressed SNA	SWC.Command_13Sts		Not_Pressed Pressed SNA		Atlantis	
Command_14	CAN Mapping	0	Left Front EVIC Switches - EVIC switch UP	BCM_FD_14.Command_14Sts	FD	Not_Pressed Pressed SNA	SWC.Command_14Sts		Not_Pressed Pressed SNA		Atlantis	
Command_15	CAN Mapping	0	Left Front EVIC Switches - EVIC switch OK	BCM_FD_14.Command_15Sts	FD	Not_Pressed Pressed SNA	SWC.Command_15Sts		Not_Pressed Pressed SNA		Atlantis	
CompressorSts	CAN Mapping	0									Atlantis	
CONDITIONING_REQUIRED_STATUS	CAN Mapping	0		<pending>.CONDITIONING_REQUIRED_STATUS	FD					Message pending	Atlantis	
Confirm_ClearPersonalData	CAN Mapping	0		TBM_SCHEDULE_FD_2.ClearPersonalData			SERVICE_SETUP.ClearPersonalData				Atlantis	
Confirm_RestoreApp	CAN Mapping	0		TBM_SCHEDULE_FD_2.RestoreApp			SERVICE_SETUP.RestoreApp				Atlantis	
Confirm_RestoreDefaultSetting	CAN Mapping	0		TBM_SCHEDULE_FD_2.RestoreDefaultSetting			SERVICE_SETUP.RestoreDefaultSetting				Atlantis	
ConnAck	CAN Mapping	0	Connected devices acknowledge	HU_ACK.ConnectedDevices	FD-CAN	0 = Not_Received 1 = Received	HU_ACK.ConnectedDevices			CR11036 WiFiClientAck & ConnAck are for the same functionality.	Atlantis	
Connect_Now	CAN Mapping	0	High Priority connection request	TELEMATIC_FD_15.Connect_Now	FD-CAN	See dbc					Atlantis	
ConnectedServActive	CAN Mapping	0		TBM_FD_1.ConnectedServActive							Atlantis	
ConsumptionUnit	CAN Mapping	0	Fuel Consumption Units	IPC_VEHICLE_SETUP.ConsumptionUnit	CAN-B	Atlantis 3 bit signal 0 = Km_Per_Litre 1 = Litres_Per_100Km 2 = Miles_Per_Gallon_UK 3 = Miles_Per_Gallon_US 4 = not_used 5 = not_used 6 = not_used 7 = not_used	IPC_VEHICLE_SETUP.ConsumptionUnit		Atlantis 3 bit signal 0 = Km_Per_Litre 1 = Litres_Per_100Km 2 = Miles_Per_Gallon_UK 3 = Miles_Per_Gallon_US 4 = not_used 5 = not_used 6 = not_used 7 = not_used		Atlantis	
ConsumptionUnit	CAN Mapping	0									Atlantis	
Coolent_Level_Stat	CAN Mapping	0	Coolant Level Lamp	IPC_FD_3.COOLENT_LEVEL_STAT	FD	0 = Off 1 = On 2 = Blinking 3 = SNA					Atlantis	
COOLING_REQUIRED_STATUS	CAN Mapping	0	Status of LTR system requiring cooling;	ENGINE_FD_8.COOLING_REQUIRED_STATUS	FD						Atlantis	
Cooperative_Status	CAN Mapping	0	Cooperative charging status	HCP_CHARGING_STAT.Cooperative_Status	FD	0 - Default 1 - Regular Charging 2 - External Charging 3 - ChargeNow Override 4 - Other reason					Atlantis	
Cooperative_Vehicle_Location	CAN Mapping	0	Vehicle at Cooperative enabled location.	TBM_COOP_CHARGING.Cooperative_Vehicle_Location	FD	0 - Vehicle not at location 1 - Vehicle at location					Atlantis	
CRUISE_SET_STAT	CAN Mapping	0									Atlantis	
CruiseControlOnOffSts	CAN Mapping	0	Cruise Control ON/OFF button	BCM_FD_13.CruiseControlOnOffSts	FD	Not_Active Active	SCCM_CRS_CTRL.CruiseControlOnOffSts		Not_Active Active		Atlantis	
CrusCnclSwitch	CAN Mapping	0	Cruize CANCEL	BCM_FD_13.CrusCnclSwitch	FD	N/A	SCCM_CRS_CTRL.CrusCnclSwitch		N/A		Atlantis	
CurrentGearForDisplay	CAN Mapping	0	Current Gear to be displayed	TRANSM_FD_4.GearEngaged	FD	4 bit signal 0 = Neutral 1 = ForwardGear_1 2 = ForwardGear_2 3 = ForwardGear_3 4 = ForwardGear_4 5 = ForwardGear_5 6 = ForwardGear_6 7 = ForwardGear_7 8 = ForwardGear_8 9 = ForwardGear_9 13 = Parking 14 = ReverseGear 15 = SNA	TRANSM2.GearEngaged			See Dean Coy is applicable for CUSW. CFTS054 only states for JL	Atlantis	
CurrentRoadName	CAN Mapping	0	Projects the Current Road Name on the IPC	TELEMATIC_FD_17.Text_Type_NavTbT	FD	0 = No_Text 1 = Nav_Turn_By_Turn_Info 2 = Current_Road 4 = Lane_Guidance_Info 15 = SNA					Atlantis	
CustKeyInIgn	CAN Mapping	0	Keyless/Key in Ignition	RFHUB_FD_1.CustKeyInIgnSts	FD	CUST_KEY_DEFAULT CUST_KEY_NOT_IN_IGNITION CUST_KEY_IN_IGNITION SNA	RFHUB1.CustKeyInIgnSts		CUST_KEY_DEFAULT CUST_KEY_NOT_IN_IGNITION CUST_KEY_IN_IGNITION SNA		Atlantis	
CycCnt_CS	CAN Mapping	0	Indicates the Segment Cyclic Counter.				SEGMENT.ADAS_Seg_CycCnt	CAN-B			Atlantis	ATL_HIGH_EMPTY
Damping_system_stat	CAN Mapping	0	Damping System Lamp								Atlantis	
DASMChimePriority	CAN Mapping	0					GW_B_5.Chime_Priority	CAN-BH		11/1/20 Added new signal for AtlMi	Atlantis	ATL_HIGH_EMPTY
DASMChimeRate	CAN Mapping	0	DASM/LDW Chime Rate				GW_B_3.DASM_Chime_RepRate	CAN-BH		LID is for IRCM based signal only, only for Powernet thru SR21 11/1/20 Added signal for AtlMi	Atlantis	ATL_HIGH_EMPTY
DASMChimeRqLF	CAN Mapping	0	AS left front chime on request	DASM_FD_2.AS_LF_CHIME_RQ	FD		STATUS_BH_BCM3.DAS_LF_CHIME_RQSts GW_B_3.DASM_LF_Chime_RqSts	CAN-BH	ATLANTIS 0 = false 1 = True	11/1/20 Added signal for AtlMi	Atlantis	
DASMChimeRqRF	CAN Mapping	0	AS right front chime on request	DASM_FD_2.AS_RF_CHIME_RQ	FD		STATUS_BH_BCM3.DAS_RF_CHIME_RQSts GW_B_3.DASM_RF_Chime_RqSts	CAN-BH	ATLANTIS 0 = false 1 = True	11/1/20 Added signal for AtlMi	Atlantis	
DASMChimeType	CAN Mapping	0	AS chime type	DASM_FD_2.AS_CHIME_TYPE	FD		STATUS_BH_BCM3.DAS_CHIME_TYPSts GW_B_3.DASM_Chime_TypSts	CAN-BH	ATLANTIS 0 = Default 1 = Chime1 2 = Chime2 3 = Chime3	11/1/20 Added signal for AtlMi	Atlantis	
DateTmDay	CAN Mapping	0	Day	TELEMATIC_FD_1.Day1_TLM TELEMATIC_FD_1.Day2_TLM	FD	4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)	TIME_DATE.Day1 TIME_DATE.Day2		4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)		Atlantis	
DateTmFormat	CAN Mapping	0	Date and Time format (12 hour or 24hour)	TELEMATIC_FD_10.DateTmFormat	FD	0 = NDEF0 1 = FORMAT_12H 2 = FORMAT_24H 3 = FORMAT_0 4 = FORMAT_1 5 = FORMAT_2 6 = FORMAT_3 7 = SNA	IPC_VEHICLE_SETUP.HourMode				Atlantis	
DateTmFormat2	CAN Mapping	0	Date and time format							For PHEV	Atlantis	
DateTmHour	CAN Mapping	0	TIME OF DAY : HOURS	TELEMATIC_FD_1.Hour1_TLM TELEMATIC_FD_1.Hour2_TLM	FD	4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)	TIME_DATE.Hour1 TIME_DATE.Hour2		4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)		Atlantis	
DateTmMinute	CAN Mapping	0	TIME OF DAY : MINUTES	TELEMATIC_FD_1.Minute1_TLM TELEMATIC_FD_1.Minute2_TLM	FD	4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)	TIME_DATE.Minute1 TIME_DATE.Minute2		4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)		Atlantis	
DateTmMonth	CAN Mapping	0	Month	TELEMATIC_FD_1.Month1_TLM TELEMATIC_FD_1.Month2_TLM	FD	4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)	TIME_DATE.Month1 TIME_DATE.Month2		4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)		Atlantis	
DateTmSecond	CAN Mapping	0	Time - Seconds	TELEMATIC_FD_1.Second1_TLM TELEMATIC_FD_1.Second2_TLM	FD	4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2)					Atlantis	
DateTmYear	CAN Mapping	0	YEAR	TELEMATIC_FD_1.Year1_TLM TELEMATIC_FD_1.Year2_TLM TELEMATIC_FD_1.Year3_TLM TELEMATIC_FD_1.Year4_TLM	FD	4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2) 0 to 9 (digit 3) 0 to 9 (digit 4)	TIME_DATE.Year1 TIME_DATE.Year2 TIME_DATE.Year3 TIME_DATE.Year4		4 bits each 0 to 9 (digit 1) 0 to 9 (digit 2) 0 to 9 (digit 3) 0 to 9 (digit 4)		Atlantis	
Day_Night_Mode	CAN Mapping	0	Day light brightness mode; Night=[0], Day=[1]	BCM_FD_27.DAY_LGT_MODE_DISP BCM_FD_27.DAY_LGT_MD_DISP	FD	ATLANTIS 0 = Night 1 = Day	BODY_CNTRL2.DAY_LGT_MD_DISP		ATLANTIS 0 = Night 1 = Day		Atlantis	
DC_PwrLev	CAN Mapping	0		IPC_VEHICLE_SETUP.DC_PwrLev	FD	See dbc file					Atlantis	
DC_PwrLev_Req	CAN Mapping	0		TELEMATIC_VEHICLE_SETUP.DC_PwrLev_Req	FD	See dbc file					Atlantis	
DCSD_AC_Req	CAN Mapping	0	DCSD HVAC Setting: HVAC A/C On/Off Request	DIS_CENTERSTACK.DCSD_AC	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_Auto_Req	CAN Mapping	0	DCSD HVAC Setting: HVAC Auto On/Off request	DIS_CENTERSTACK.DCSD_Auto	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_AUX4	CAN Mapping	0	"DCSD AUX4 softkey pressed status (12.1"" DCSD for Police Pursuit)"								Atlantis	
DCSD_DISP_STAT	CAN Mapping	0	DCSD display status	DIS_CENTERSTACK.DCSD_DISP_STAT	B-CAN	0 = OFF 1 = ON 2 = BLANK 3 = RR_CMRA 4 = DISP_HOT 7 = SNA	DIS_CENTERSTACK.DCSD_DISP_STAT				Atlantis	
DCSD_Enter	CAN Mapping	0	DCSD Enter.	DIS_CENTERSTACK.DCSD_Enter	CAN-B	0 = Enter_Not_Pressed 1 = Enter_Pressed					Atlantis	
DCSD_FanSpdDown_Req	CAN Mapping	0	DCSD HVAC Setting: Fan Speed Decrease Request	DIS_CENTERSTACK.DCSD_FanSpeedDown	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_FanSpdUp_Req	CAN Mapping	0	DCSD HVAC Setting: Fan Speed Increase Request	DIS_CENTERSTACK.DCSD_FanSpeedUp	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_Front_Defrost	CAN Mapping	0		DIS_CENTERSTACK.DCSD_Front_Defrost (BH-CAN)			DIS_CENTERSTACK.DCSD_Front_Defrost (BH-CAN)				Atlantis	
DCSD_HVAC_Pwr _Req	CAN Mapping	0	DCSD HVAC Setting: HVAC Power On/Off Request	DIS_CENTERSTACK.DCSD_HVAC_Pwr _Req	BH	0 - Not Pressed 1 - Pressed				As of V1.52, the signal is new. The Atlantis High message.signal name is pending and may not match the implemented name.	Atlantis	
DCSD_LeftTempDown_Req	CAN Mapping	0	DCSD HVAC Setting: Left Temperature Decrease Request	DIS_CENTERSTACK.DCSD_LeftTempDown	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_LeftTempUp_Req	CAN Mapping	0	DCSD HVAC Setting: Left Temperature Increase Request	DIS_CENTERSTACK.DCSD_LeftTempUp	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_MaxDef_Req	CAN Mapping	0	DCSD HVAC Setting: Max Defrost On/Off Request	DIS_CENTERSTACK.DCSD_MaxDef_Req	BH	0 - Not Pressed 1 - Pressed				As of V1.52, the signal is new. The Atlantis High message.signal name is pending and may not match the implemented name.	Atlantis	
DCSD_ModeDefrost_Req	CAN Mapping	0	DCSD HVAC Setting: Mode Defrost Request	DIS_CENTERSTACK.DCSD_ModeDefrost_Req	BH	0 - Not Pressed 1 - Pressed				As of V1.52, the signal is new. The Atlantis High message.signal name is pending and may not match the implemented name.	Atlantis	
DCSD_ModeFoot_Req	CAN Mapping	0	DCSD HVAC Setting: Mode Foot Request	DIS_CENTERSTACK.DCSD_ModeFoot_Req	BH	0 - Not Pressed 1 - Pressed				As of V1.52, the signal is new. The Atlantis High message.signal name is pending and may not match the implemented name.	Atlantis	
DCSD_ModePanel_Req	CAN Mapping	0	DCSD HVAC Setting: Mode Panel Request	DIS_CENTERSTACK.DCSD_ModePanel_Req	BH	0 - Not Pressed 1 - Pressed				As of V1.52, the signal is new. The Atlantis High message.signal name is pending and may not match the implemented name.	Atlantis	
DCSD_Power	CAN Mapping	0	DCSD Power.	DIS_CENTERSTACK.DCSD_Power	CAN-B	0 = Button_Not_Pressed 1 = Button_Pressed					Atlantis	
DCSD_Rear_Defrost	CAN Mapping	0		DIS_CENTERSTACK.DCSD_Rear_Defrost (BH-CAN)			DIS_CENTERSTACK.DCSD_Rear_Defrost (BH-CAN)				Atlantis	
DCSD_Recirc_Req	CAN Mapping	0	DCSD HVAC Setting: HVAC Recirculation request	DIS_CENTERSTACK.DCSD_Recirc	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_RightTempDown_Req	CAN Mapping	0	DCSD HVAC Setting: Right Temperature Decrease Request	DIS_CENTERSTACK.DCSD_RightTempDown	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_RightTempUp_Req	CAN Mapping	0	DCSD HVAC Setting: Right Temperature Increase Request	DIS_CENTERSTACK.DCSD_RightTempUp	BH	0 - Not Pressed 1 - Pressed					Atlantis	
DCSD_Screen_Off	CAN Mapping	0	DCSD Screen Off.	DIS_CENTERSTACK.DCSD_Screen_Off	CAN-B	0 = Screen_Off_Not_Pressed 1 = Screen_Off_Pressed					Atlantis	
DCSD_TUNEKNOB_DIR	CAN Mapping	0	DCSD TUNEKNOB DIR	DIS_CENTERSTACK.DCSD_TUNEKNOB_DIR	CAN-B	0 = KNOB_NO_CHNG 1 = KNOB_INC_POS 2 = KNOB_DEC_NEG 3 = KNOB_ENTER					Atlantis	
DCSD_TUNEKNOB_VAL	CAN Mapping	0	DCSD TUNEKNOB VAL	DIS_CENTERSTACK.DCSD_TUNEKNOB_VAL	CAN-B	6 bit signal					Atlantis	
DCSD_VOLKNOB_DIR	CAN Mapping	0	DCSD VOLKNOB DIR	DIS_CENTERSTACK.DCSD_VOLKNOB_DIR	CAN-B	0 = KNOB_NO_CHNG 1 = KNOB_INC_POS 2 = KNOB_DEC_NEG 3 = KNOB_ENTER					Atlantis	
DCSD_VOLKNOB_VAL	CAN Mapping	0	DCSD VOLKNOB VAL	DIS_CENTERSTACK.DCSD_VOLKNOB_VAL	CAN-B	6 bit signal					Atlantis	
DeceleratorSts	CAN Mapping	0	Cruize SET/- button	BCM_FD_13.DeceleratorSts	FD	Not_Active Active	SCCM_CRS_CTRL.DeceleratorSts		Not_Active Active		Atlantis	
DeckLidState	CAN Mapping	0		BCM_FD_11.GT_DL_Stat TELEMATIC_FD_15.GT_DL_Stat	FD						Atlantis	
Def_stat	CAN Mapping	0	Diesel Exhaust Fuel Lamp								Atlantis	
Default_App_Request	CAN Mapping	0	Request to set APPs to their factory default values.	GLOB_TLM.Default_App_Request	FD	0 = No_Request 1 = Request_to_Reinstall_Factory_Default_Apps	GLOB_TLM.Default_App_Request			CR11036	Atlantis	
Defrost_Range_Impact	CAN Mapping	0		<pending>.Defrost_Range_Impact	FD					Message pending	Atlantis	
Disarm_Mobile_App_Req	CAN Mapping	0		TBM_FD_1.Disarm_Mobile_App_Req							Atlantis	
DISC_VIDEO_OUT	CAN Mapping	0	DISC video output type								Atlantis	
Displacement	CAN Mapping	0	Displacement								Atlantis	
Display_Theme_Selector	CAN Mapping	0		Display_Synchronization_Rq	FD						Atlantis	
DisplayedSpeedLimSts	CAN Mapping	0	This signal indicates the road sign of vehicle speed limit displayed by IPC	IPC_FD_4.DisplayedSpeedLimSts	FD	6 bit signal see .dbc for all enumerations enumerations are set up as: for value x enumeration = Speed_Limit_5x except for: 0 = Sign_Not_Detected 62 = Speed_Limit_Unlimited 63 = End_Speed_Limit	CLUSTER5.DisplayedSpeedSign	CAN-B	8 bit signal see .dbc file	For PNet: >MAPN vehicles shall use CAM_MAP_FUSION.FusedSpeedLimit. >JL24 and other non MASPN vehicles shall use IC_A6.DisplayedSpeedLimSts	Atlantis	
