lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
ACConlyNA_DASMSts	CAN Mapping	0	ACC only not available	DASM_FD_2.ACCFailSts DASM_FD_2.DASMFailSts	FD	Atlantis 1 bit signal (ACCFailSts) 0 = Fail_not_present 1 = Fail_Present 1 bit signal (DASMFailSts) 0 = Fail_Present 1 = Fail_not_present	STATUS_DASM.ACCFailSts STATUS_DASM.DASMFailSts		Atlantis 1 bit signal (ACCFailSts) 0 = Fail_not_present 1 = Fail_Present 1 bit signal (DASMFailSts) 0 = Fail_Present 1 = Fail_not_present		Atlantis	
ACConlyNA_DASMSts	CAN Mapping	0					C2_IGW3.ACCFailSts	CAN-C	0 = Fail_not_present 1 = Fail_Present	The required signal shall be added for Atlantis architecture and for SR23 CFTS102 implementation	Atlantis	ATL_HIGH_EMPTY
ACCSystemSts	CAN Mapping	0					C2_IGW3.ACCSystemSts	CAN-C	0 = OFF 1 = Enabled 2 = Engaged 3 = Engaged_BrakeOnly 4 = Override 5 = Cancel	The required signal shall be added for Atlantis architecture and for SR23 CFTS102 implementation	Atlantis	ATL_HIGH_EMPTY
Act_Damping_Ctrl	CAN Mapping	0	Active damping control status								Atlantis	
ActlAccelPdlPosn	CAN Mapping	0	Actual Accel Pedal Position								Atlantis	
ActualH2Consumption	CAN Mapping	0					FCPS_DATA1.ActualH2Consumption	CAN-C	See dbc		Atlantis	ATL_HIGH_EMPTY
ActualRearDifferentialTorqueLock	CAN Mapping	0	Rear Differential Torque Lock				Not Applicable				Atlantis	ATL_HIGH_EMPTY
ACV_FailType	CAN Mapping	0		STATUS_CLIMATE9.ACV_FailType BCM_FD_26.ACV_FailType	B FD	0=None 1-7 = Reserved				ECC shall use the CAN B signal. TBM shall use the FD signal.	Atlantis	
ACV_Request	CAN Mapping	0		STATUS_BH_BCM2.ACV_Request TBM_FD_1.ACV_Request	B FD	0=OFF 1=ON				ECC shall use the CAN B signal. TBM shall use the FD signal.	Atlantis	
ACV_Status	CAN Mapping	0		STATUS_CLIMATE9.ACV_Status BCM_FD_26.ACV_Status	B FD	0=OFF 1=ON 2=Reserved 3=SNA				ECC shall use the CAN B signal. TBM shall use the FD signal.	Atlantis	
ADAS_CountryCode	CAN Mapping	0	Country Code	TELEMATIC_FD_11.CountryCode	FD	10 bit signal	META_DATA.ADAS_Meta_CountryCode				Atlantis	
ADAS_L3_TellTaleSts	CAN Mapping	0	Addresses HMI Autodrive L3 requirement on Status bar and Lockout conditions.	ADAS_FD_HMI.L3_TelltaleSts	FD	00.- OFF 01.- White 02.- Blue 03.- Blue_Flashing 04.- Yellow_Flashing 05.- Red_Flashing 06.- Red 07.- SNA					Atlantis	
ADAS_MRM_STATUS	CAN Mapping	0		ADAS_FD_INFO.MRM_STATUS	FD	0 = Not_Active 1 = MRM_in_Process 2 = Vehicle_Secure_Request 3 = Vehicle_Securement_Complete 4 = Canceled 7 = SNA					Atlantis	
ADAS_MRM_STATUS_C2	CAN Mapping	0		ADAS_FD_INFO_C2.MRM_STATUS_C2	FD	0 = Not_Active 1 = MRM_in_Process 2 = Vehicle_Secure_Request 3 = Vehicle_Securement_Complete 4 = Canceled 7 = SNA					Atlantis	
ADC_DrvMd_CfgSts	CAN Mapping	0	ADC Drive Mode Config Status	BCM_FD_11.ADC_DrvMd_CfgSts	FD	0 = MODE_1 1 = MODE_2 2 = MODE_3 3 = SNA					Atlantis	
ADC_Stat_2	CAN Mapping	0		ASCM_FD_2.ADC_Stat_2	FD	See dbc					Atlantis	
ADS_DrvMd_CfgSts	CAN Mapping	0		BCM_FD_26.ADS_DrvMd_CFGSts_TMI	FD	0 - MODE_1 1 - MODE_2 2 - MODE_3 3 - DM1 4 - DM2 5 - DM3 6 - DEFAULT 7 - SNA				As of V1.54, message.signal name requested. Actual name may vary.	Atlantis	
ADS_MODE_REQ	CAN Mapping	0	ADS Mode Request								Atlantis	
ADS_SrvSys	CAN Mapping	0	ADS service system								Atlantis	
AEBFailSts	CAN Mapping	0					C2_IGW3.AEBFailSts	CAN-C	0 = Fail_Present 1 = Fail_not_present	The required signal shall be added for Atlantis architecture and for SR23 CFTS102 implementation	Atlantis	ATL_HIGH_EMPTY
AEBTempFailSts	CAN Mapping	0					C2_IGW3.AEBTemporaryFailSts	CAN-C	0 = Fail_Present 1 = Fail_not_present	The required signal shall be added for Atlantis architecture and for SR23 CFTS102 implementation	Atlantis	ATL_HIGH_EMPTY
AFTER_RUN_STATUS	CAN Mapping	0	Quick Cool down feature	ENGINE_FD_8.AFTER_RUN_STATUS	FD						Atlantis	
AHBFault	CAN Mapping	0	AHB Fault	HAPTIC1.AHBFault	CAN-B	1 bit 0 = Off 1 = On	HAPTIC1.AHBFault		1 bit 0 = Off 1 = On		Atlantis	
AIR_BAG_STAT	CAN Mapping	0									Atlantis	
AirbagIndLamp	CAN Mapping	0	SRS indication lamp request	ORC_FD_1.AirBagFailSts	FD	ATLANTIS 0 = Fail_Not_Present_Lamp_Off, 1 = Fail_Not_Present_Flashing, 2 = Fail_Present_Lamp_On, 3 = Not_Used	AIRBAG1.AirBagFailSts		ATLANTIS 0 = Fail_Not_Present_Lamp_Off, 1 = Fail_Not_Present_Flashing, 2 = Fail_Present_Lamp_On, 3 = Not_Used		Atlantis	
AirCondStatus	CAN Mapping	0	Air Conditioning Status	STATUS_CLIMATE2.HVACAC_Sts	CAN-B	ATLANTIS 0 = OFF 1 = ON 2 = BLINK 3 = SNA	STATUS_CLIMATE2.HVACAC_Sts		ATLANTIS 0 = OFF 1 = ON 2 = BLINK 3 = SNA		Atlantis	
AirFuelRatio	CAN Mapping	0		ENGINE_FD_5.AirFuelRatio	FD						Atlantis	
AirSuspensionDown_Req	CAN Mapping	0	Air Suspension Down softkey	TELEMATIC_FD_11.HU_AirSusp_DnSw1	FD	ATLANTIS 1 bit signal 0 =Not_Pressed 1 = Pressed					Atlantis	
