lid	sheet	row	scope	message	signal	can	fmt
2ndHdRstRelRq	CAN Mapping	4	Atlantis High	RADIO_B3	HDRstRelRq_2ndRow	CAN-BH	
A_EV_Kilometers	CAN Mapping	5	Atlantis High	IPC_FD_11	A_EV_Kilometers	FD	see dbc
A_EV_Miles	CAN Mapping	6	Atlantis High	IPC_FD_11	A_EV_Miles	FD	see dbc
A_Hybrid_Kilometers	CAN Mapping	7	Atlantis High	IPC_FD_11	A_Hybrid_Kilometers	FD	see dbc
A_Hybrid_Miles	CAN Mapping	8	Atlantis High	IPC_FD_11	A_Hybrid_Miles	FD	see dbc
"A_MPG
A_KMpL"	CAN Mapping	11	Atlantis High	IPC_FD_6	AverageFuelConsumptionAPlus	FD	Atlantis\n10 bit signal\n0 - 102.3 miles/gallon or km/liter\nresolution = 0.1 miles/gallon or km/liter
AbortCrankingAtc	CAN Mapping	14	Atlantis High	BCM_FD_29	AbortCrankingAtc	FD	
AbortCrankingAtc	CAN Mapping	14	Atlantis High	DRIVETRAIN_FD_2	AbortCrankingAtc		
ABS_IND_STAT	CAN Mapping	15	Atlantis High	IPC_FD_3	ABS_IND_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
ABSActive	CAN Mapping	16	Atlantis(&High)	BRAKE1	ABSActive	CAN-C	\n0 = Not_active\n1 = Active
ABSIndLampStatus	CAN Mapping	17	Atlantis High	BRAKE_FD_5	ABSFailSts	FD	ATLANTIS\n1 bit signal\n0 = Fail_Not_Present\n1 = Fail_Present
AC_Charge_Button_Label1	CAN Mapping	18	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label1		see dbc
AC_Charge_Button_Label2	CAN Mapping	19	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label2		see dbc
AC_Charge_Button_Label3	CAN Mapping	20	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label3		see dbc
AC_Charge_Button_Label4	CAN Mapping	21	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label4		see dbc
AC_Charge_Button_Label5	CAN Mapping	22	Atlantis High	VCDM_HMI2	AC_Charge_Button_Label5		see dbc
AC_SW_RQ	CAN Mapping	23	Atlantis High	TELEMATIC_FD_5	AC_SW_RQ	FD	1 bit signal
ACC_DistSwDec	CAN Mapping	25	Atlantis High	BCM_FD_13	ACC_DistSwDec	CAN-B	False\nTrue
ACC_DistSwInc	CAN Mapping	26	Atlantis High	BCM_FD_13	ACC_DistSwInc	FD	False\nTrue
ACC_On	CAN Mapping	27	Atlantis High	BCM_FD_13	ACC_On	FD	False\nTrue
AcceleratorPedalPosition	CAN Mapping	30	Atlantis High	ENGINE_SIMULATOR1	AccelPdlPosn_OBD_PT1	FD	-
AcceleratorSts	CAN Mapping	31	Atlantis High	BCM_FD_13	AcceleratorSts	FD	Not_Active\nActive
AccelPdlPosn_OBD	CAN Mapping	32	Atlantis High	ENGINE_FD_2	GasPedalPositionFailSts	FD	Atlantis\n1 bit signal\n0 = Fail not present\n1 = Fail present
AccelPdlPosn_OBD	CAN Mapping	33	Atlantis High	OBD_CONTENT_FRAME	AccelPdlPosn_OBD	CAN-B	ATLANTIS\n8 bit mesaage \nResolution = 0.3922%
AccelPdlPosn_OBD	CAN Mapping	34	Atlantis High	ENGINE_FD_2	GasPedalPosition	FD	Atlantis\n8 bit signal\n0 - 99.568 %\nresolution = 0.392%
ACCFaulted	CAN Mapping	35	Atlantis High	DASM_FD_2	ACCFailSts	FD	Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (NCCFailSts)\n0 = Fail_not_present\n1 = Fail_Present
ACCFaulted	CAN Mapping	35	Atlantis High	DASM_FD_2	NCCFailSts		Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (NCCFailSts)\n0 = Fail_not_present\n1 = Fail_Present
ACConlyNA_DASMSts	CAN Mapping	36	Atlantis High	DASM_FD_2	ACCFailSts	FD	Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (DASMFailSts)\n0 = Fail_Present\n1 = Fail_not_present
ACConlyNA_DASMSts	CAN Mapping	36	Atlantis High	DASM_FD_2	DASMFailSts		Atlantis\n1 bit signal (ACCFailSts)\n0 = Fail_not_present\n1 = Fail_Present\n\n1 bit signal (DASMFailSts)\n0 = Fail_Present\n1 = Fail_not_present
ACConlyNA_DASMSts	CAN Mapping	37	Atlantis(&High)	C2_IGW3	ACCFailSts	CAN-C	0 = Fail_not_present\n1 = Fail_Present
ACCSystemSts	CAN Mapping	38	Atlantis(&High)	C2_IGW3	ACCSystemSts	CAN-C	0 = OFF\n1 = Enabled\n2 = Engaged\n3 = Engaged_BrakeOnly\n4 = Override\n5 = Cancel
ActualH2Consumption	CAN Mapping	41	Atlantis(&High)	FCPS_DATA1	ActualH2Consumption	CAN-C	See dbc
ActualRearDifferentialTorqueLock	CAN Mapping	42	Atlantis(&High)		Applicable		
ACV_FailType	CAN Mapping	43	Atlantis High	STATUS_CLIMATE9	ACV_FailType	B	0=None\n1-7 = Reserved
ACV_FailType	CAN Mapping	43	Atlantis High	BCM_FD_26	ACV_FailType	FD	0=None\n1-7 = Reserved
ACV_Request	CAN Mapping	44	Atlantis High	STATUS_BH_BCM2	ACV_Request	B	0=OFF\n1=ON
ACV_Request	CAN Mapping	44	Atlantis High	TBM_FD_1	ACV_Request	FD	0=OFF\n1=ON
ACV_Status	CAN Mapping	45	Atlantis High	STATUS_CLIMATE9	ACV_Status	B	0=OFF\n1=ON\n2=Reserved\n3=SNA
ACV_Status	CAN Mapping	45	Atlantis High	BCM_FD_26	ACV_Status	FD	0=OFF\n1=ON\n2=Reserved\n3=SNA
ADAS_CountryCode	CAN Mapping	46	Atlantis High	TELEMATIC_FD_11	CountryCode	FD	10 bit signal
ADAS_L3_TellTaleSts	CAN Mapping	47	Atlantis High	ADAS_FD_HMI	L3_TelltaleSts	FD	00.- OFF\n01.- White\n02.- Blue\n03.- Blue_Flashing\n04.- Yellow_Flashing\n05.- Red_Flashing\n06.- Red\n07.- SNA
ADAS_MRM_STATUS	CAN Mapping	48	Atlantis High	ADAS_FD_INFO	MRM_STATUS	FD	0 = Not_Active\n1 = MRM_in_Process\n2 = Vehicle_Secure_Request\n3 = Vehicle_Securement_Complete\n4 = Canceled\n7 = SNA
ADAS_MRM_STATUS_C2	CAN Mapping	49	Atlantis High	ADAS_FD_INFO_C2	MRM_STATUS_C2	FD	0 = Not_Active\n1 = MRM_in_Process\n2 = Vehicle_Secure_Request\n3 = Vehicle_Securement_Complete\n4 = Canceled\n7 = SNA
ADC_DrvMd_CfgSts	CAN Mapping	50	Atlantis High	BCM_FD_11	ADC_DrvMd_CfgSts	FD	0 = MODE_1\n1 = MODE_2\n2 = MODE_3\n3 = SNA
ADC_Stat_2	CAN Mapping	51	Atlantis High	ASCM_FD_2	ADC_Stat_2	FD	See dbc
ADS_DrvMd_CfgSts	CAN Mapping	52	Atlantis High	BCM_FD_26	ADS_DrvMd_CFGSts_TMI	FD	0 - MODE_1\n1 - MODE_2\n2 - MODE_3\n3 - DM1\n4 - DM2\n5 - DM3\n6 - DEFAULT\n7 - SNA
AEBFailSts	CAN Mapping	55	Atlantis(&High)	C2_IGW3	AEBFailSts	CAN-C	0 = Fail_Present\n1 = Fail_not_present\n
AEBTempFailSts	CAN Mapping	56	Atlantis(&High)	C2_IGW3	AEBTemporaryFailSts	CAN-C	\n0 = Fail_Present\n1 = Fail_not_present
AFTER_RUN_STATUS	CAN Mapping	57	Atlantis High	ENGINE_FD_8	AFTER_RUN_STATUS	FD	
AHBFault	CAN Mapping	58	Atlantis High	HAPTIC1	AHBFault	CAN-B	1 bit\n0 = Off\n1 = On
AirbagIndLamp	CAN Mapping	60	Atlantis High	ORC_FD_1	AirBagFailSts	FD	ATLANTIS\n0 = Fail_Not_Present_Lamp_Off, \n1 = Fail_Not_Present_Flashing, \n2 = Fail_Present_Lamp_On, \n3 = Not_Used
AirCondStatus	CAN Mapping	61	Atlantis High	STATUS_CLIMATE2	HVACAC_Sts	CAN-B	ATLANTIS\n0 = OFF\n1 = ON\n2 = BLINK\n3 = SNA
AirFuelRatio	CAN Mapping	62	Atlantis High	ENGINE_FD_5	AirFuelRatio	FD	
AirSuspensionDown_Req	CAN Mapping	63	Atlantis High	TELEMATIC_FD_11	HU_AirSusp_DnSw1	FD	ATLANTIS\n1 bit signal\n0 =Not_Pressed\n1 = Pressed
AirSuspensionStatus	CAN Mapping	64	Atlantis High	ASCM_FD_2	ASCM_Stat	FD	4 bit sgnal\n\n0 = NONE\n1 = DUMP\n2 = PARK\n3 = AERO\n4 = NVL\n5 = OR1\n6 = ORL2\n7 = EEHNA\n8 = RAISE\n9 = LOWER\n10 = SYSFAIL\n11 = SRVS\n12 = AERO2\n15 = SNA
AirSuspensionUp_Req	CAN Mapping	65	Atlantis High	TELEMATIC_FD_11	HU_AirSusp_UpSw1	FD	ATLANTIS\n1 bit signal\n0 =Not_Pressed\n1 = Pressed
AllowClimateSchd1	CAN Mapping	66	Atlantis High	CLIMATE_SCHEDULE_HU1	AllowClimateSchd1	FD	See dbc file
AllowClimateSchd2	CAN Mapping	67	Atlantis High	CLIMATE_SCHEDULE_HU1	AllowClimateSchd2	FD	See dbc file
AMB_TEMP_AVG	CAN Mapping	68	Atlantis High	BCM_FD_9	ExternalTemperature	FD	See dbc
AMB_TEMP_AVG	CAN Mapping	68	Atlantis High	BCM_FD_10	ExternalTemperatureC		See dbc
AMB_TEMP_AVG	CAN Mapping	68	Atlantis High	BCM_FD_10	ExternalTemperatureF		See dbc
AmbientLightingIntensityZone1	CAN Mapping	69	Atlantis High	RADIO_B9	IntelAmbLight_Intensity_Zone	CAN-BH	Level 0 - Level 100
AmbientLightingIntensityZone2	CAN Mapping	70	Atlantis High	RADIO_B9	IntelAmbLight_Intensity_Zone2	CAN-BH	Level 0 - Level 100
AmbientLightingLevel	CAN Mapping	71	Atlantis High	IPC_VEHICLE_SETUP	AmbientLightingLevel		
AmbientLightingLevel	CAN Mapping	71	Atlantis High	CENTERSTACK3	AmbDimmerPos		
AmbientLightingLevel_Req	CAN Mapping	72	Atlantis High	CENTERSTACK3	AmbDimmerPos		
AMPAudioStatus	CAN Mapping	73	Atlantis High	STATUS_AMP	AUDIOSts_AMP	CAN-B	0 = Initializaton\n1 = Available\n2 = Not_Available
AMPSurroundAvailable	CAN Mapping	74	Atlantis High	STATUS_AMP	SURR_AVAILSts	CAN-B	1 bit signal\n0 = False\n1 = True
AMPSurroundSTS	CAN Mapping	75	Atlantis High	STATUS_AMP	AMP_DSS_STATSts	CAN-B	2 bit signal\n0 = CFG_ST\n1 = CFG_VID_SURR\n2 = CFG_AUD_SURR
AntiTheftStatus	CAN Mapping	76	Atlantis High	STATUS_TELEMATIC	AntitheftSts	CAN-B	2 bit signal\n0 = Not_Successfully\n1 = In_Progress\n2 = Successfully
AQS_Active	CAN Mapping	77	Atlantis(&High)	HVAC_A1	AQS_Active		
ASBM4_Climate_btn_1	CAN Mapping	78	Atlantis High	BCM_ASBM4	Climate_button_1	BH	See DBC
ASBM4_Climate_btn_2	CAN Mapping	79	Atlantis High	BCM_ASBM4	Climate_button_2	BH	See DBC
ASBM4_Climate_btn_3	CAN Mapping	80	Atlantis High	BCM_ASBM4	Climate_button_3	BH	See DBC
ASBM4_Climate_btn_4	CAN Mapping	81	Atlantis High	BCM_ASBM4	Climate_button_4	BH	See DBC
ASBM4_Climate_btn_5	CAN Mapping	82	Atlantis High	BCM_ASBM4	Climate_button_5	BH	See DBC
ASBM4_Climate_btn_9	CAN Mapping	83	Atlantis High	BCM_ASBM4	Climate_button_9	BH	See DBC
ASBM4_Climate_btn_10	CAN Mapping	84	Atlantis High	BCM_ASBM4	Climate_button_10	BH	See DBC
ASBM4_Climate_btn_11	CAN Mapping	85	Atlantis High	BCM_ASBM4	Climate_button_11	BH	See DBC
ASBM4_Climate_btn_12	CAN Mapping	86	Atlantis High	BCM_ASBM4	Climate_button_12	BH	See DBC
ASBM4_Climate_btn_13	CAN Mapping	87	Atlantis High	BCM_ASBM4	Climate_button_13	BH	See DBC
ASBM4_Climate_btn_14	CAN Mapping	88	Atlantis High	BCM_ASBM4	Climate_button_14	BH	See DBC
ASBM4_Climate_btn_15	CAN Mapping	89	Atlantis High	BCM_ASBM4	Climate_button_15	BH	See DBC
ASBM4_Climate_btn_20	CAN Mapping	90	Atlantis High	BCM_ASBM4	Climate_button_20	BH	See DBC
ASC_DrvMd_CfgSts	CAN Mapping	91	Atlantis High	BCM_FD_26	ASC_DrvMd_CfgSts_TMI	FD	0 - DEFAULT\n1 - DM1\n2 - DM2\n3 - DM3\n4 - MODE_1\n5 - MODE_2\n6 - MODE_3\n7 - SNA
ASC_MODE_REQ	CAN Mapping	92	Atlantis High	TELEMATIC_FD_15	ETM_ASC_MODE_REQ	FD	0 - DEFAULT\n1 - DM1\n2 - DM2\n3 - DM3\n4 - MODE_1\n5 - MODE_2\n6 - MODE_3\n7 - SNA
ASCM_SysFail	CAN Mapping	93	Atlantis High	ASCM_FD_2	ASCM_SysFail	FD	0 = FALSE\n1 = TRUE
ASRActive	CAN Mapping	94	Atlantis High	BRAKE_FD_4	ASRActive	FD	Atlantis\n1 bit signal\n0 = Not_active\n1 = Active
Audible_Warning	CAN Mapping	96	Atlantis High		pending	FD	
Audible_Warning_Sts	CAN Mapping	97	Atlantis High		pending	FD	
Audio_Range_Impact	CAN Mapping	98	Atlantis High		pending	FD	
AudioMenuPopup	CAN Mapping	102	Atlantis High	IPC_FD_11	AudioMenuPopup	FD	0 = Not_Active\n1 = Active
AudioReq	CAN Mapping	104	Atlantis(&High)	STATUS_TBM	AudioRequest		
AUTO_MD_SW_RQ	CAN Mapping	105	Atlantis High	TELEMATIC_FD_5	AUTO_MD_SW_RQ	FD	1 bit signal
AUTO_MD_SW_RQ_2_M	CAN Mapping	106	Atlantis High	TGW_HVAC_CTRL_M	AUTO_MD_SW_RQ_2_M		
AUTO_MD_SW_RQ_M	CAN Mapping	107	Atlantis High	TGW_HVAC_CTRL_M	AUTO_MD_SW_RQ_M		
Auto_Stat	CAN Mapping	109	Atlantis High	STATUS_CLIMATE2	HVACAuto_Sts	CAN-B	ATLANTIS\n0 = OFF\n1 = ON\n2 = BLINK\n3 = SNA
Auto_Stat_2	CAN Mapping	110	Atlantis High	HVAC_A1	AUTO_STAT_2		
AutomaticOilChange	CAN Mapping	111	Atlantis High	STATUS_CCAN4	OilLifeSts	CAN-B	ATLANTIS\n2 bit signal\n0 = Normal_Oil_Properties\n1 = Oil_Life_Reset\n2 = Change_Oil_Required\n3 = Not_used
AutonomyZEV	CAN Mapping	112	Atlantis High		Moved		
AutonomyZEV	CAN Mapping	112	Atlantis High		AtlMi		
AutoVehHoldSts	CAN Mapping	113	Atlantis High	BRAKE_FD_7	AutoVehHoldSts		
AverageTempC	CAN Mapping	114	Atlantis High	BCM_FD_10	ExternalTemperatureC	FD	ATLANTIS\n9 bit signal (ExternalTemperatureC)\n-85 - +170 degrees C\nresolution = 0.5 degrees C\n\n1 bit signal (ExternalTemperatureFailSts)\n0 = Fail_not_present\n1 = Fail_present
AverageTempF	CAN Mapping	115	Atlantis High	BCM_FD_10	ExternalTemperatureF	FD	ATLANTIS\n9 bit signal (ExternalTemperatureF)\n-121 - +389 degrees F\nresolution = 1 degrees F\n\n1 bit signal (ExternalTemperatureFailSts)\n0 = Fail_not_present\n1 = Fail_present
AvgFuelEcon	CAN Mapping	117	Atlantis High	ENGINE_FD_6	FuelConsumption_GAG	FD	ENGINE_FD_6.FuelConsumption_GAG:\n16 bit signal\n\nUnits are litres/hour\nOffset = 0\nFactor = 0.0022\nRange is 0 to 144.1748\n\nSNA = 65535\n\n
AvgFuelLevel	CAN Mapping	118	Atlantis High	BCM_FD_9	FuelLevel	FD	ATLANTIS\n8 bit (FuelLevel)\n0 - +255%\nResolution = 1%\n\n1 bit signal (FuelLevelFailSts)\n0 = Fail_Not_Present\n1 = Fail_Present
AWD_service_stat	CAN Mapping	119	Atlantis High	IPC_FD_3	AWD_SERVICE_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
AxleLckrSts/AxlLckrSts	CAN Mapping	121	Atlantis High	DRIVETRAIN_FD_3	AxleLckr_Stat	FD	
"B_Total_Dist_Miles
B_Total_Dist_Kilometers"	CAN Mapping	130	Atlantis High	TRIP_B	PartialOdometerBPlus	CAN-B	Atlantis\n20 bit signal\n0 - 104857.5 km or miles\nresolution = 0.1 km or miles
Back_Button	CAN Mapping	131	Atlantis High	CLIMATIC_PANEL	Radio_btn3	CAN-B	 1 bit signal\n0 = Not_Pressed (Back button)\n1 = Pressed (Back button)
Backlite_Close_RQ	CAN Mapping	132	Atlantis High	PTCM_CTRL	Close_Backlite_BurronSts	BH-CAN	0x0 = Pressed\n0x1 = No_Pressed
Backlite_Fail	CAN Mapping	133	Atlantis High	STATUS_PTCM	BackliteFailSts	BH-CAN	0x0 = Fail_Not_Present\n0x1 = Fail_Present
Backlite_Open_RQ	CAN Mapping	134	Atlantis High	PTCM_CTRL	Open_Backlite_BurronSts	BH-CAN	0x0 = Pressed\n0x1 = No_Pressed
Backlite_Stat	CAN Mapping	135	Atlantis High	STATUS_PTCM	BackliteSts	BH-CAN	0x0 = OPEN\n0x1 = CLOSED\n0x2 = MIDDLE\n0x3 = None
BAT_SOCE	CAN Mapping	136	Atlantis High		TBD		
BAT_SOH	CAN Mapping	137	Atlantis High	BATTERY_HV	BMS_HV_SOH	FD	Min=0\nMax=127\nFactor=1\nOffset=0\nInitialValue=0
BatPwrUsageDisp	CAN Mapping	138	Atlantis High	HYBRID_DISPLAY	BatteryPowerUse_Display	FD	
BatPwrUsageDisp	CAN Mapping	138	Atlantis High	HCP_4	BatPwrUsgDisp		
BatPwrUsageDisp_V	CAN Mapping	139	Atlantis High	HYBRID_DISPLAY	BatteryPowerUse_DisplayV	FD	0 = Valid\n1 = Not_Valid
Batt_CabinPriority1	CAN Mapping	140	Atlantis High	CHARGE_SCHEDULE_HU1	Batt_CabinPriority1	FD	0 = Checkbox Unselected\n1 = Checkbox Selected
Batt_CabinPriority1_Sts	CAN Mapping	141	Atlantis High	CHARGE_SCHEDULE_HCP1	Batt_CabinPriority1_Sts	FD	0 = Battery charging on priority\n1 = Cabin conditioning on priority
Batt_CabinPriority2	CAN Mapping	142	Atlantis High	CHARGE_SCHEDULE_HU1	Batt_CabinPriority2	FD	0 = Checkbox Unselected\n1 = Checkbox Selected
Batt_CabinPriority2_Sts	CAN Mapping	143	Atlantis High	CHARGE_SCHEDULE_HCP1	Batt_CabinPriority2_Sts	FD	0 = Battery charging on priority\n1 = Cabin conditioning on priority
Batt_CabinPriority3	CAN Mapping	144	Atlantis High	CHARGE_SCHEDULE_HU1	Batt_CabinPriority3	FD	0 = Checkbox Unselected\n1 = Checkbox Selected
Batt_CabinPriority3_Sts	CAN Mapping	145	Atlantis High	CHARGE_SCHEDULE_HCP1	Batt_CabinPriority3_Sts	FD	0 = Battery charging on priority\n1 = Cabin conditioning on priority
Batt_ST_Crit	CAN Mapping	146	Atlantis High	STATUS_LIN	Batt_ST_Crit	CAN-B	Atlantis\n1 bit signal\n0 = False\n1 = True
Batt_ST_Crit	CAN Mapping	146	Atlantis High	BCM_FD_11	Batt_ST_Crit	FD	Atlantis\n1 bit signal\n0 = False\n1 = True
Battery_charge_stat	CAN Mapping	147	Atlantis High	IPC_FD_3	BATTERY_CHARGE_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
BatteryLampStatus	CAN Mapping	148	Atlantis High	STATUS_LIN	Batt_ST_Crit	CAN-B	Atlantis\n1 bit signal\n0 = False\n1 = True
BatteryLampStatus	CAN Mapping	148	Atlantis High	BCM_FD_11	Batt_ST_Crit	FD	Atlantis\n1 bit signal\n0 = False\n1 = True
BatteryTemperature	CAN Mapping	149	Atlantis(&High)	LIN_BCM_IGW2	IBS_T_BATT		8 - bit\n-40 - +215 degrees C\nresolution = 1 degree C
BatteryVoltage	CAN Mapping	151	Atlantis High	BATTERY_INFO	BatteryVoltageLevelHP	CAN-B	9 bit \n4-18v\nResolution: 0.025V
BatteryVoltage	CAN Mapping	151	Atlantis High	BODY9	Battery_Volt_1	BH	9 bit \n4-18v\nResolution: 0.025V
BatteryVoltage	CAN Mapping	151	Atlantis High	BCM_FD_3	Battery_Volt_1	FD	9 bit \n4-18v\nResolution: 0.025V
Bcall_Enable	CAN Mapping	152	Atlantis High	TBM_FD_2	bcall_enab	CAN_FD	0=DISABLED\n1=ENABLED\n3=SNA
BlueChannel	CAN Mapping	156	Atlantis High	RADIO_B7	Blue_Channel_Amb_Light	B	0-255
BoostPressureIndication	CAN Mapping	157	Atlantis(&High)	STATUS_C_ECM2	BoostPressureIndication		8 bit signal\n1 bit = 15 mbar
BoostVacGauge	CAN Mapping	158	Atlantis High	ENGINE_FD_1	BoostVacGauge	FD	
Brake_Ind_Stat	CAN Mapping	159	Atlantis High	IPC_FD_3	BRK_IND_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
Brake_Pad_stat	CAN Mapping	160	Atlantis High	IPC_FD_3	BRAKE_PAD_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
BrakeFluid	CAN Mapping	161	Atlantis High	STATUS_BH_BCM1	BrakeFluidLevelSts	CAN-B	ATLANTIS\n1 bit signal\n0 = OK\n1 = Low Level
BrakeIndicationLampStatus	CAN Mapping	162	Atlantis High	BRAKE_FD_5	EBDSFailSts	FD	ATLANTIS\n1 bit signal\n0 = Fail_Not_Present\n1 = Fail_Present
BrakePdlPosn	CAN Mapping	163	Atlantis High	BRAKE_FD_7	BrakePdlPosn	CAN-FD	
BrakePdlPosn	CAN Mapping	163	Atlantis High	GW_B_7	BrakePdlPosn	CAB-BH	
BrakePedal	CAN Mapping	164	Atlantis High		duplicate	FD	ATLANTIS\nLength: 1 bit\n0=Not Active\n1=Active
BrakePedal	CAN Mapping	164	Atlantis High		176	FD	ATLANTIS\nLength: 1 bit\n0=Not Active\n1=Active
BrakePedal	CAN Mapping	165	Atlantis High	BRAKE_FD_7	BrkPdl_Stat	FD	ATLANTIS\n1 bit signal\n0 = Active\n1 = Not Actve
BrakePressure	CAN Mapping	166	Atlantis High	BRAKE_FD_8	BrkPrss_TMC	FD	11 bit signal\n\nUnits are bar\nOffset = 0\nFactor = 0.1\nRange = 0 to 200\n\nSNA = 2047
Bridge_CS	CAN Mapping	167	Atlantis(&High)	SEGMENT	ADAS_Seg_Bridge	CAN-B	
Brk_Intrvntn_Actv_ESP	CAN Mapping	168	Atlantis High	BRAKE_FD_7	BrkIntrvntn_Actv_ESP	FD	Atlantis\n1 bit signal\n0 = Not Active\n1 = Active
BrkPdl_Flt	CAN Mapping	170	Atlantis High	BRAKE_FD_7	BrkPdl_Flt	FD	0 = NOT FAULTED\n1 = FAULTED
BSIS_FRONT_Chime_Type	CAN Mapping	171	Atlantis(&High)	BSIS_FRONT_INFO	FrontRadarChimeType	CAN-BH	0 = none\n1 thru 14 = Type 1 thru 14\n15 = SNA
BSIS_FRONT_Req	CAN Mapping	172	Atlantis(&High)	BSIS_FRONT_INFO	FrontRadarChimeReqSts	CAN-BH	Active and Not Active
BSIS_REAR_Chime_Type	CAN Mapping	173	Atlantis(&High)	BSIS_REAR_INFO	RearRadarChimeType	CAN-BH	0 = none\n1 thru 14 = Type 1 thru 14\n15 = SNA
BSIS_REAR_Req	CAN Mapping	174	Atlantis(&High)	BSIS_REAR_INFO	RearRadarChimeReqSts	CAN-BH	Active and Not Active
BSM_OPR_STAT	CAN Mapping	175	Atlantis High	STATUS_LBSS	BSS_LT_OPR_StatSts	CAN-B	Atlantis\n1 bit signal\n0 = No Operational Failure\n1 = Operational Failure - System Unavailable
BSM_OPR_STAT	CAN Mapping	175	Atlantis High	STATUS_RBSS	BSS_RT_OPR_StatSts		Atlantis\n1 bit signal\n0 = No Operational Failure\n1 = Operational Failure - System Unavailable
BsmServiceRequest	CAN Mapping	176	Atlantis High	STATUS_LBSS	BSS_LT_SRV_RQSts	CAN-B	ATLANTIS\n1 bit signal (BSS_LT_SRV_RQSts)\n0 = No Service Request\n1 = Service Request\n\n1 bit signal (BSS_RT_SRV_RQSts)\n0 = No Service Request\n1 = Service Request
BsmServiceRequest	CAN Mapping	176	Atlantis High	STATUS_RBSS	BSS_RT_SRV_RQSts		ATLANTIS\n1 bit signal (BSS_LT_SRV_RQSts)\n0 = No Service Request\n1 = Service Request\n\n1 bit signal (BSS_RT_SRV_RQSts)\n0 = No Service Request\n1 = Service Request
BSSChimeRqLF	CAN Mapping	177	Atlantis(&High)	STATUS_LBSS	BSS_LF_Chime_RQSts		ATLANTIS\n1 bit signal\n0 = No_left_frnt_chime_on_req\n1 = Left_front_chime_on_req
BSSChimeRqLR	CAN Mapping	178	Atlantis(&High)	STATUS_LBSS	BSS_LR_Chime_RQSts		ATLANTIS\n1 bit signal\n0 = No_left_rear_chime_on_req\n1 = Left_rear_chime_on_req
BSSChimeRqRF	CAN Mapping	179	Atlantis(&High)	STATUS_RBSS	BSS_RF_Chime_RQSts		ATLANTIS\n1 bit signal\n0 = No_rght_frnt_chime_on_req\n1 = Right_front_chime_on_req
BSSChimeRqRR	CAN Mapping	180	Atlantis(&High)	STATUS_RBSS	BSS_RR_Chime_RQSts		ATLANTIS\n1 bit signal\n0 = No_right_rear_chime_on_req\n1 = Right_rear_chime_on_req
BSSChimeType	CAN Mapping	181	Atlantis High	GW_B_5	Chime_TypSts	BH	ATLANTIS\n4 bit signal\n0 = None\n1 = type1\n2 = type2\n3 = type3\n4 = type4\n5 = type5\n6 = type6\n7 = type7\n8 = type8\n9 = type9\n10 = type10\n11 = type11\n12 = type12\n13 = type13\n14 = type14\n15 = SNA
BSSConfiguration	CAN Mapping	182	Atlantis High	STATUS_RBSS	BSS_RT_CFG_STATSts	CAN-B	ATLANTIS\n2 bit signal\n0 = Not_enabled\n1 = Enabled_for_LED\n2 = Enabled_for_LED_and_Chime\n3 = SNA
BSSConfiguration	CAN Mapping	182	Atlantis High	STATUS_LBSS	BSS_LT_CFG_STATSts		ATLANTIS\n2 bit signal\n0 = Not_enabled\n1 = Enabled_for_LED\n2 = Enabled_for_LED_and_Chime\n3 = SNA
BUBFailSts	CAN Mapping	183	Atlantis High	TBM_SCHEDULE_FD_2	BUBFailSts	FD	See dbc
BuiltUpArea_CS	CAN Mapping	184	Atlantis(&High)	SEGMENT	ADAS_Seg_BuildUpArea	CAN-B	
Cabin_Temp1	CAN Mapping	186	Atlantis High	CHARGE_SCHEDULE_HU1	Cabin_Temp1	FD	See dbc
Cabin_Temp1_Sts	CAN Mapping	187	Atlantis High	CHARGE_SCHEDULE_HCP1	Cabin_Temp1_Sts	FD	See dbc
Cabin_Temp2	CAN Mapping	188	Atlantis High	CHARGE_SCHEDULE_HU1	Cabin_Temp2	FD	See dbc
Cabin_Temp2_Sts	CAN Mapping	189	Atlantis High	CHARGE_SCHEDULE_HCP1	Cabin_Temp2_Sts	FD	See dbc
Cabin_Temp3	CAN Mapping	190	Atlantis High	CHARGE_SCHEDULE_HU1	Cabin_Temp3	FD	See dbc
Cabin_Temp3_Sts	CAN Mapping	191	Atlantis High	CHARGE_SCHEDULE_HCP1	Cabin_Temp3_Sts	FD	See dbc
CADM_Chime_LF	CAN Mapping	193	Atlantis High	GW_B_5	LF_Chime_RqSts	CAN-B	Atlantis\n1 bit signal\n\n0 = No_Request\n1 = Request
