lid	sheet	row	scope	message	signal	can	fmt
Schar6	CAN Mapping	1644	Atlantis High	WIFI_SSID	UTF_Char6	FD	8 bit signal
Schar7	CAN Mapping	1645	Atlantis High	WIFI_SSID	UTF_Char7	FD	8 bit signal
Schedule_Day1	CAN Mapping	1646	Atlantis High	CHARGE_SCHEDULE_HU1	Schedule_Day1	FD	8 bit signal\n\nSee .dbc for enumerations\n\n255 = SNA
Schedule_Day1_Sts	CAN Mapping	1647	Atlantis High	CHARGE_SCHEDULE_HCP1	Schedule_Day1_Sts	FD	8 bit signal\n\nSee .dbc for enumerations\n\n255 = SNA
Schedule_Day2	CAN Mapping	1648	Atlantis High	CHARGE_SCHEDULE_HU1	Schedule_Day2	FD	8 bit signal\n\nSee .dbc for enumerations\n\n255 = SNA
Schedule_Day2_Sts	CAN Mapping	1649	Atlantis High	CHARGE_SCHEDULE_HCP1	Schedule_Day2_Sts	FD	8 bit signal\n\nSee .dbc for enumerations\n\n255 = SNA
Schedule_Day3	CAN Mapping	1650	Atlantis High	CHARGE_SCHEDULE_HU1	Schedule_Day3	FD	8 bit signal\n\nSee .dbc for enumerations\n\n255 = SNA
Schedule_Day3_Sts	CAN Mapping	1651	Atlantis High	CHARGE_SCHEDULE_HCP1	Schedule_Day3_Sts	FD	8 bit signal\n\nSee .dbc for enumerations\n\n255 = SNA
Schedule_Type1	CAN Mapping	1652	Atlantis High	CHARGE_SCHEDULE_HU1	Schedule_Type1	FD	0 = No Selection\n1 = Departure Time\n2 = Charge Interval\n3 = SNA
Schedule_Type1_Sts	CAN Mapping	1653	Atlantis High	CHARGE_SCHEDULE_HCP1	Schedule_Type1_Sts	FD	0 = No Selection\n1 = Departure Time\n2 = Charge Interval\n3 = SNA
Schedule_Type2	CAN Mapping	1654	Atlantis High	CHARGE_SCHEDULE_HU1	Schedule_Type2	FD	0 = No Selection\n1 = Departure Time\n2 = Charge Interval\n3 = SNA
Schedule_Type2_Sts	CAN Mapping	1655	Atlantis High	CHARGE_SCHEDULE_HCP1	Schedule_Type2_Sts	FD	0 = No Selection\n1 = Departure Time\n2 = Charge Interval\n3 = SNA
Schedule_Type3	CAN Mapping	1656	Atlantis High	CHARGE_SCHEDULE_HU1	Schedule_Type3	FD	0 = No Selection\n1 = Departure Time\n2 = Charge Interval\n3 = SNA
