name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_side	result	note
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req				TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req				TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req				TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req				TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req	CAN	spec_paras;spec_tables	0	0				TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.TSREnableReq	CAN	037_desc;spec_paras	0	0				TELEMATIC_VEHICLE_SETUP2.TSREnableReq					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req	CAN	spec_paras	0	0			PROXI/Format/r583cF/R5 R3 去 _Req 後綴+去_Menu/_Setting	TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req				TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req	CAN	037_desc;spec_paras	0	0				TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req				TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req	CAN	spec_paras	2	2	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R3 去 _Req 後綴+底線/大小寫		IPC_VEHICLE_SETUP.DistanceUnit;IPC_VEHICLE_SETUP.Speed_Unit	IPC_VEHICLE_SETUP.Speed_Unit		FD	IPC_VEHICLE_SETUP.Speed_Unit->PDT27_E2A_R1_FDCAN8.dbc	段3待ATL-Mi DBC	架構差異(Atlantis≠Atlantis High)
TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	CAN	spec_paras;spec_tables	0	0				TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req	CAN	spec_paras	0	0				TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req	CAN	037_desc;spec_paras	0	0				TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req				TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
