name	kind	seg1_atl	seg1_atlh	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	arch_diff	seg3_637	result
TELEMATIC_SERVICE_SETUP.PrivacyModeReq	CAN	LID/CAN Mapping/r1399cA/Logical Identifier/R2 去 MESSAGE. 前綴	LID/CAN Mapping/r1399cA/Logical Identifier/R2 去 MESSAGE. 前綴	GLOB_LTM.PrivacyModeReq	TELEMATIC_VEHICLE_SETUP.PrivacyModeReq	CAN-B	FD	YES	GLOB_LTM.PrivacyModeReq → SG_ PrivacyModeReq 在 BO_ TELEMATIC_SERVICE_SETUP（與規格訊息名 GLOB_LTM 不符）	訊息名不符(R-13)
TELEMATIC_SERVICE_SETUP.RestoreAppReq	CAN			TELEMATIC_SERVICE_SETUP.RestoreAppReq					TELEMATIC_SERVICE_SETUP.RestoreAppReq → BO_170 TELEMATIC_SERVICE_SETUP / SG_ RestoreAppReq / VAL_ 有 2 項	解得
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq	CAN			TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq					查無：TELEMATIC_SERVICE_SETUP.RestoreDefaultSettimgReq	未解得(止於段3)
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	CAN	LID/CAN Mapping/r1583cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1583cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1583cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1583cP/Atlantis Signal Name/R1 逐字	TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	TELEMATIC_VEHICLE_SETUP.RestoreDefaultSettingReq			YES	TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq → BO_170 TELEMATIC_SERVICE_SETUP / SG_ RestoreDefaultSettingReq / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	CAN			TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req					TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ AutoHighBeamEnable_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	CAN			TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req					TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ AutoParkBrake_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req	CAN			TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req					查無：TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req	未解得(止於段3)
TELEMATIC_VEHICLE_SETUP.BSDEnable_Req	CAN			TELEMATIC_VEHICLE_SETUP.BSDEnable_Req					TELEMATIC_VEHICLE_SETUP.BSDEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ BSDEnable_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req	CAN	LID/CAN Mapping/r387cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r388cA/Logical Identifier/R3 去 _Req 後綴	LID/CAN Mapping/r387cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r388cA/Logical Identifier/R3 去 _Req 後綴	IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP.ConsumptionUnit		CAN-B		IPC_VEHICLE_SETUP.ConsumptionUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ ConsumptionUnit / VAL_ 有 8 項	解得
TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	CAN			TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req					TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ CorneringEnable_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	CAN			TELEMATIC_VEHICLE_SETUP.DRLEnable_Req					TELEMATIC_VEHICLE_SETUP.DRLEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ DRLEnable_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	CAN	LID/CAN Mapping/r459cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r459cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r459cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r459cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	IPC_VEHICLE_SETUP.DistanceUnit			FD		IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req	CAN	LID/CAN Mapping/r751cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r751cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r751cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r751cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP.ExternalLightSensorLevel				IPC_VEHICLE_SETUP.ExternalLightSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ ExternalLightSensorLevel / VAL_ 有 4 項	解得
TELEMATIC_VEHICLE_SETUP.HourMode_Req	CAN			TELEMATIC_VEHICLE_SETUP.HourMode_Req					TELEMATIC_VEHICLE_SETUP.HourMode_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ HourMode_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	CAN	LID/CAN Mapping/r1111cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r1112cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1112cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1111cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r1112cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1112cP/Atlantis Signal Name/R1 逐字	IPC_VEHICLE_SETUP.LanguageSelection;TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	IPC_VEHICLE_SETUP.LanguageSelection		CAN-B	YES	IPC_VEHICLE_SETUP.LanguageSelection → BO_1468 IPC_VEHICLE_SETUP / SG_ LanguageSelection / VAL_ 有 23 項 ; TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ LanguageSelection_Req / VAL_ 有 22 項	B-1 衝突
TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req	CAN			TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req					TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ PamAlertMode_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req	CAN			TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req					TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ PamChimeVolumeFront_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req	CAN			TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req					TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ PamChimeVolumeRear_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req	CAN	LID/CAN Mapping/r1105cB/Function/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r1105cB/Function/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	RFHUB3.RFReq	BCM_FD_9.RFReq;RFHUB_FD_1.RFReq		FD	YES	查無：RFHUB3.RFReq	未解得(止於段3)
TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req	CAN			TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req					TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ RainSensorLevel_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock	CAN			TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock					TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock → SG_ RemoteDoorUnlock 在 BO_ IPC_VEHICLE_SETUP（與規格訊息名 TELEMATIC_VEHICLE_SETUP 不符）	訊息名不符(R-13)
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	CAN			TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req					TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ RemoteDoorUnlock_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.SdwChimeVolume_Req	CAN	LID/CAN Mapping/r1669cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1669cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r1669cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1669cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	IPC_VEHICLE_SETUP.SdwChimeVolume	IPC_VEHICLE_SETUP.SdwChimeVolume		CAN-B		查無：IPC_VEHICLE_SETUP.SdwChimeVolume	未解得(止於段3)
TELEMATIC_VEHICLE_SETUP.Sdw_Req	CAN			TELEMATIC_VEHICLE_SETUP.Sdw_Req					TELEMATIC_VEHICLE_SETUP.Sdw_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ Sdw_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req	CAN			TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req					TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ SoundHornLock_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req	CAN			TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req					TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ SoundHornRemoteStart_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	CAN			TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req					TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req → BO_158 TELEMATIC_VEHICLE_SETUP / SG_ SpeedLockDoorEnable_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req	CAN	LID/CAN Mapping/r2070cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r2070cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r2070cA/Logical Identifier/R3 去 _Req 後綴 ; LID/CAN Mapping/r2070cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	IPC_VEHICLE_SETUP.TemperatureUnit	IPC_VEHICLE_SETUP.Temp_Unit		FD	YES	IPC_VEHICLE_SETUP.TemperatureUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ TemperatureUnit / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	CAN			TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req					TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ AutoUnlockDoorExit_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	CAN			TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req					TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ EPB_MaintenanceMode_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	CAN			TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req					TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ FSFCWPlusActivationMode_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	CAN			TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req					TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ FSFCWPlusSetting_Req / VAL_ 有 5 項	解得
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	CAN			TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req					TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ FlashLightWLock_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	CAN			TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req					TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ HeadlightsOffDelay_Req / VAL_ 有 4 項	解得
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	CAN			TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req					TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ LDW_Intensity_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	CAN			TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req					TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ LDW_Sensibility_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req	CAN			TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req					TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ PassiveEntrySelection_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP2.TSREnableReq	CAN			TELEMATIC_VEHICLE_SETUP2.TSREnableReq					TELEMATIC_VEHICLE_SETUP2.TSREnableReq → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ TSREnableReq / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req	CAN			TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req					TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ Trlr_Lnth_Blind_Spot_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req	CAN			TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req					TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req → BO_162 TELEMATIC_VEHICLE_SETUP2 / SG_ TyrePressureUnit_Req / VAL_ 有 3 項	解得
TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req	CAN			TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req					TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req → BO_1291 TELEMATIC_VEHICLE_SETUP3 / SG_ Drowsy_Driver_Alert_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req	CAN			TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req					查無：TELEMATIC_VEHICLE_SETUP3.SVC_Gridlines_Req	未解得(止於段3)
TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req	CAN			TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req					TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req → BO_1291 TELEMATIC_VEHICLE_SETUP3 / SG_ SVC_Guidelines_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req	CAN	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R3 去 _Req 後綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R3 去 _Req 後綴+底線/大小寫	IPC_VEHICLE_SETUP.DistanceUnit;IPC_VEHICLE_SETUP.Speed_Unit	IPC_VEHICLE_SETUP.Speed_Unit		FD	YES	IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項 ; IPC_VEHICLE_SETUP.Speed_Unit → SG_ Speed_Unit 在 BO_ IPC_VEHICLE_SETUP3（與規格訊息名 IPC_VEHICLE_SETUP 不符）	解得
TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req	CAN			TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req					TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req → BO_163 TELEMATIC_VEHICLE_SETUP4 / SG_ GreetingLightsLevel_Req / VAL_ 有 4 項	解得
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	CAN			TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable					TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable → SG_ HeadlampOnWithWiperEnable 在 BO_ IPC_VEHICLE_SETUP4（與規格訊息名 TELEMATIC_VEHICLE_SETUP4 不符）	訊息名不符(R-13)
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req	CAN			TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req					TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req → BO_163 TELEMATIC_VEHICLE_SETUP4 / SG_ HeadlampOnWithWiperEnable_Req / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req	CAN			TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req					TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req → BO_163 TELEMATIC_VEHICLE_SETUP4 / SG_ New_Spd_Zone_Ind_Req / VAL_ 有 4 項	解得
TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq	CAN			TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq					TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq → BO_163 TELEMATIC_VEHICLE_SETUP4 / SG_ SignCaptureModeReq / VAL_ 有 2 項	解得
TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req	CAN			TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req					TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req → BO_163 TELEMATIC_VEHICLE_SETUP4 / SG_ Traffic_Sign_Warn_Req / VAL_ 有 3 項	解得
PrivacyMode.Info	Info	LID/CAN Mapping/r1398cA/Logical Identifier/R2′ 去 .Info 後綴	LID/CAN Mapping/r1398cA/Logical Identifier/R2′ 去 .Info 後綴	SERVICE_SETUP.PrivacyMode	TBM_SCHEDULE_FD_2.PrivacyMode	CAN-B	FD	YES	SERVICE_SETUP.PrivacyMode → BO_1446 SERVICE_SETUP / SG_ PrivacyMode / VAL_ 有 2 項	解得
Cluster_Display_Type	PROXI	LID/Proxi & Configuration/r39cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r39cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r39cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r39cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r39cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r39cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
Country_Code	PROXI	LID/CAN Mapping/r46cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r43cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r43cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r250cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r46cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r43cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r43cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r250cP/Atlantis Signal Name/R1 逐字	Car_Configuration_16.Country_Code;META_DATA.ADAS_Meta_CountryCode	TELEMATIC_FD_11.CountryCode	PROXI	FD	YES	META_DATA.ADAS_Meta_CountryCode → BO_1865 META_DATA / SG_ ADAS_Meta_CountryCode / VAL_ 無	解得
Driver_Drowsy_Alert	PROXI	LID/Proxi & Configuration/r59cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r59cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
Forward_Collision_Mitigation	PROXI	LID/Proxi & Configuration/r285cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r285cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
Fuel_Type	PROXI	LID/Proxi & Configuration/r89cA/Logical Identifier/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r89cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r89cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r89cA/Logical Identifier/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r89cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r89cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
GPS_Presence	PROXI	LID/Proxi & Configuration/r93cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r93cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r93cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r93cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
Geolocation_Menu	PROXI	LID/Proxi & Configuration/r91cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r91cP/Atlantis Signal Name/R1 逐字			PROXI				UI+PROXI 雙路徑
PAM_Configuration	PROXI	LID/Proxi & Configuration/r150cA/Logical Identifier/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r150cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r150cA/Logical Identifier/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r150cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
Side_Distance_Warning	PROXI	LID/Proxi & Configuration/r173cP/Atlantis Signal Name/R1 逐字 ; LID/Proxi & Configuration/r176cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r176cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r173cP/Atlantis Signal Name/R1 逐字 ; LID/Proxi & Configuration/r176cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r176cP/Atlantis Signal Name/R1 逐字			PROXI	CFTS102			UI+PROXI 雙路徑
Surround_View_Camera	PROXI	LID/Proxi & Configuration/r191cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r191cP/Atlantis Signal Name/R1 逐字			PROXI				PROXI路徑(R-P375b/c)
External_Light_Sensor_Level.Req	Req	LID/CAN Mapping/r751cA/Logical Identifier/R4 R2′ 去 .Req 後綴+底線/大小寫 ; LID/CAN Mapping/r751cB/Function/R4 R2′ 去 .Req 後綴+底線/大小寫	LID/CAN Mapping/r751cA/Logical Identifier/R4 R2′ 去 .Req 後綴+底線/大小寫 ; LID/CAN Mapping/r751cB/Function/R4 R2′ 去 .Req 後綴+底線/大小寫	IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP.ExternalLightSensorLevel				IPC_VEHICLE_SETUP.ExternalLightSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ ExternalLightSensorLevel / VAL_ 有 4 項	解得
